Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Baby & Toddler Toys,100001698,Children Bath Water Playing Toys Chain Rowing Boat Swim Floating Cartoon Duck Infant Baby Early Education Bathroom Beach Gifts,1005003406258060,https://ae01.alicdn.com/kf/Hd2edc27d1b624220bbaca32b70fecc30V/Children-Bath-Water-Playing-Toys-Chain-Rowing-Boat-Swim-Floating-Cartoon-Duck-Infant-Baby-Early-Education.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd2edc27d1b624220bbaca32b70fecc30V.jpg,https://ae04.alicdn.com/kf/Hdc9e91e4056a4960bd332cd9f77dcbfdC.jpg,https://ae04.alicdn.com/kf/H56d531ed68f0406a964ec40aa64dc333b.jpg,https://ae04.alicdn.com/kf/Ha3a8797c1b6147dca50ffe8aa387cd9eB.jpg,https://ae04.alicdn.com/kf/Hfe1dc41d08474183b2f7df2ab8578e61I.jpg,",https://www.aliexpress.com/item/1005003406258060.html,15.00,7.50,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AtpWfD
Baby & Toddler Toys,100001698,Bath Toys Bag Baby Bathroom Mesh Bag Kids Basket for Toys Net Cartoon Animal Shapes Waterproof Cloth Sand Toys Beach Storage,1005003406215816,https://ae01.alicdn.com/kf/H88976e2b076a4bacb348fe8a5fa2f014U/Bath-Toys-Bag-Baby-Bathroom-Mesh-Bag-Kids-Basket-for-Toys-Net-Cartoon-Animal-Shapes-Waterproof.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H88976e2b076a4bacb348fe8a5fa2f014U.jpg,https://ae04.alicdn.com/kf/H2a3a47ae21e847b79c8b2f4673c8d1d5I.jpg,https://ae04.alicdn.com/kf/Hbd2e1058d6e64dfd90d9dc56491bee4bs.jpg,https://ae04.alicdn.com/kf/Hce9e90317f2144c6b65f580f42db46bfJ.jpg,https://ae04.alicdn.com/kf/Hda92c4eac4f34e71aefaac91f98d941dG.jpg,",https://www.aliexpress.com/item/1005003406215816.html,15.00,7.50,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9IBXr5
Baby & Toddler Toys,100001698,New Summer Bathroom Bath Shower Baby Clockwork Swimming Children Play Water Cute Little Duck Bathing Bathtub Toys For Kid Gifts,1005003406194313,https://ae01.alicdn.com/kf/H5507c53aa47f479ebe64e4bd205b610cD/New-Summer-Bathroom-Bath-Shower-Baby-Clockwork-Swimming-Children-Play-Water-Cute-Little-Duck-Bathing-Bathtub.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5507c53aa47f479ebe64e4bd205b610cD.jpg,https://ae04.alicdn.com/kf/Hd5d1b02d26a24f52becfbb6bec3d1bcfi.jpg,https://ae04.alicdn.com/kf/He557b58070d94f62a0f63d43741e65f43.jpg,https://ae04.alicdn.com/kf/Hc0a4e30cce784ebca0beda043f577efan.jpg,https://ae04.alicdn.com/kf/Hdb9113fe607c45db923b6710bca813bdK.jpg,",https://www.aliexpress.com/item/1005003406194313.html,15.00,7.50,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AdYiPh
Baby & Toddler Toys,100001698,Baby Toy Mesh Bag Bath Bathtub Doll Organizer Suction Bathroom Bath Toy Stuff Net Baby Kids Bath Bathtub Toy Bath Game Bag Kids,1005003406302107,https://ae01.alicdn.com/kf/H086f2a41e6004f56bfa7b57659f9e399S/Baby-Toy-Mesh-Bag-Bath-Bathtub-Doll-Organizer-Suction-Bathroom-Bath-Toy-Stuff-Net-Baby-Kids.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H086f2a41e6004f56bfa7b57659f9e399S.jpg,https://ae04.alicdn.com/kf/Hfa55bf6a02684a1f97c0ce4630530c94c.jpg,https://ae04.alicdn.com/kf/Hee6b434b11824cc98b587f4f878895a03.jpg,https://ae04.alicdn.com/kf/H0991120023a14be383b41f2e05a2fab7G.jpg,https://ae04.alicdn.com/kf/Hd9cdb195ec4f4153a2b471c8073e13e25.jpg,",https://www.aliexpress.com/item/1005003406302107.html,15.00,7.50,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AsVZ2j
Baby & Toddler Toys,100001698,Baby Dolphin Bath Toys Kids Led Lighting Up Water Floating Toy Glowing Beach Toys for Children Luminous Swim Rubber Ducks Toys,1005003406268442,https://ae01.alicdn.com/kf/H75523c2bea0347809d0c07124dadc7fcQ/Baby-Dolphin-Bath-Toys-Kids-Led-Lighting-Up-Water-Floating-Toy-Glowing-Beach-Toys-for-Children.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H75523c2bea0347809d0c07124dadc7fcQ.jpg,https://ae04.alicdn.com/kf/H0987bbd162684b289f8408abb3740e0dW.jpg,https://ae04.alicdn.com/kf/H6b229fa8c5ee4a13acee3e80c9f1c620a.jpg,https://ae04.alicdn.com/kf/H03fb58b5cd0b44aa8abd4d7d212f6468n.jpg,https://ae04.alicdn.com/kf/H8a551175acd8418fb2619a13809a6c99T.jpg,",https://www.aliexpress.com/item/1005003406268442.html,15.00,7.50,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A8uKQP
Baby & Toddler Toys,100001698,Cute Baby Bath Toys Bathroom Play Water Spraying Tool Clouds Shower Floating Toys Kids Bathroom Water Toys Early Educational,1005003406189336,https://ae01.alicdn.com/kf/Hd1c0de5fc11d4e3aa4e6465edcc372ff2/Cute-Baby-Bath-Toys-Bathroom-Play-Water-Spraying-Tool-Clouds-Shower-Floating-Toys-Kids-Bathroom-Water.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd1c0de5fc11d4e3aa4e6465edcc372ff2.jpg,https://ae04.alicdn.com/kf/Hb940d8d405f44f7aa3c4e18eef60a731O.jpg,https://ae04.alicdn.com/kf/He133e228810547b09bf90ff77318ad83R.jpg,https://ae04.alicdn.com/kf/H5e43709339c449acaec25a0e254975c0r.jpg,https://ae04.alicdn.com/kf/He77550a80f6144bb80f593f66a966439u.jpg,",https://www.aliexpress.com/item/1005003406189336.html,15.00,7.50,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9yloOn
Baby & Toddler Toys,100001698,Bath Toys Pipeline Water Spray Shower Game Elephant Bath Baby Toy for Children Swimming Bathroom Bathing Shower Kids Toy,1005003406313623,https://ae01.alicdn.com/kf/H3e43eaf81e6d48acbd659f69c64c1415e/Bath-Toys-Pipeline-Water-Spray-Shower-Game-Elephant-Bath-Baby-Toy-for-Children-Swimming-Bathroom-Bathing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3e43eaf81e6d48acbd659f69c64c1415e.jpg,https://ae04.alicdn.com/kf/H96fe1f0d2c434e05b48631d103f6210c8.jpg,https://ae04.alicdn.com/kf/Ha1f56c8673be456084a1e6f0ff0cc80bO.jpg,https://ae04.alicdn.com/kf/H00ede87a658942d5b216cd90e0e97458Z.jpg,https://ae04.alicdn.com/kf/H830041712a3645068693f49a35832c6f7.jpg,",https://www.aliexpress.com/item/1005003406313623.html,39.06,19.53,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9Gf8M7
Baby & Toddler Toys,100001698,Wooden Elephant Traction Toy Walker Smooth Sliding Without Noise Montessori Children's Drawable Drag Toddler Early Learning Aids,1005003305243806,https://ae01.alicdn.com/kf/H329382de3d4f4e718713f149b5dedae3c/Wooden-Elephant-Traction-Toy-Walker-Smooth-Sliding-Without-Noise-Montessori-Children-s-Drawable-Drag-Toddler-Early.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H329382de3d4f4e718713f149b5dedae3c.jpg,https://ae04.alicdn.com/kf/H72d4cbbd75c24128963a5e0436984bc4C.jpg,https://ae04.alicdn.com/kf/H8606c543981047248f44014cc9378dd7N.jpg,https://ae04.alicdn.com/kf/Hc291679f2160417caac0fe5442467a14t.jpg,https://ae04.alicdn.com/kf/He8c4525bbf024ea58d8888f46b4690bcv.jpg,",https://www.aliexpress.com/item/1005003305243806.html,9.00,4.50,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ApGc9V
Baby & Toddler Toys,100001698,Plush Toy Cartoon Polar Bear Toy Simulation Doll Stuffed Toys for Kids Girlfriend Wife 35CM,1005003369166030,https://ae01.alicdn.com/kf/H5706f216f97844649a4398f02b9c4cafi/Plush-Toy-Cartoon-Polar-Bear-Toy-Simulation-Doll-Stuffed-Toys-for-Kids-Girlfriend-Wife-35CM.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5706f216f97844649a4398f02b9c4cafi.jpg,https://ae04.alicdn.com/kf/H6c0c92111b004796b5544bb898976b48x.jpg,https://ae04.alicdn.com/kf/H9c509eea2aaf4de8b74ec95377fa4a69N.jpg,https://ae04.alicdn.com/kf/H725eb2c76b02425085e6c1af2778e03bX.jpg,https://ae04.alicdn.com/kf/H2a4ef42fed604590875a62428d1ccf1bG.jpg,",https://www.aliexpress.com/item/1005003369166030.html,2.99,1.52,30.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_AWCGLp
Baby & Toddler Toys,100001698,Baby Bath Toys Water Game Electric Duck Elephant Water Spray Toys Spray Water Toys for Kids Outside Pool Bathtub Toys Sprinkler,1005003406335898,https://ae01.alicdn.com/kf/H47e7ed1e798a4add9e325345c36989bbo/Baby-Bath-Toys-Water-Game-Electric-Duck-Elephant-Water-Spray-Toys-Spray-Water-Toys-for-Kids.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H47e7ed1e798a4add9e325345c36989bbo.jpg,https://ae04.alicdn.com/kf/H3e332fa279464f5286a6b58139f81721A.jpg,https://ae04.alicdn.com/kf/H44d2804323f74926a4bb69ad19e93863I.jpg,https://ae04.alicdn.com/kf/He587c1e24f45460885c20abb5f203fb5d.jpg,https://ae04.alicdn.com/kf/Hf8b952ecab0449d6a343f2e7d6b21beau.jpg,",https://www.aliexpress.com/item/1005003406335898.html,20.22,10.11,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AcyHbN
