Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Blouses & Shirts,200000346,Autumn Fashion COTTON Women Shirts Womens Tops and Blouse Loose Women Long Sleeve Blouse White Woman Ladies Shirts,32895090742,https://ae01.alicdn.com/kf/He1a5daafcffa4cda8523027298509a52o/Autumn-Fashion-COTTON-Women-Shirts-Womens-Tops-and-Blouse-Loose-Women-Long-Sleeve-Blouse-White-Woman.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He1a5daafcffa4cda8523027298509a52o.jpg,https://ae04.alicdn.com/kf/Hcaa7636d3aab441e9c33ea348ca585d6r.jpg,https://ae04.alicdn.com/kf/H02dd9b6ee42e4385a28d8f0e7eb6528ef.jpg,https://ae04.alicdn.com/kf/H47a887409bb842789c05f6dc3b90f04fO.jpg,https://ae04.alicdn.com/kf/H89ab2110f2bb4891a4a3a5fb82ada086B.jpg,",https://www.aliexpress.com/item/32895090742.html,19.16,9.58,13.50%,2098-12-31,50%,https://s.click.aliexpress.com/e/_Ak4OKV
Blouses & Shirts,200000346,Autumn Korean Fashion Silk Women Blouses Satin Solid Womens Tops and Blouses Loose Pink Long Sleeve Women Shirts,4000099474980,https://ae01.alicdn.com/kf/H1c8e9371afeb4fd9851140867fe368dax/Autumn-Korean-Fashion-Silk-Women-Blouses-Satin-Solid-Womens-Tops-and-Blouses-Loose-Pink-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1c8e9371afeb4fd9851140867fe368dax.jpg,https://ae04.alicdn.com/kf/H7136a8a0c8d5456ea775b99911300b83f.jpg,https://ae04.alicdn.com/kf/He34f877907ef4fc4a1ca94db25e01098d.jpg,https://ae04.alicdn.com/kf/Hcdf881f5f34d4ba5aa0a81bae4de8d75U.jpg,https://ae04.alicdn.com/kf/H07a7eed0b3624083bacdf9febb046b7cF.jpg,",https://www.aliexpress.com/item/4000099474980.html,33.00,16.50,10.50%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A0XoCp
Blouses & Shirts,200000346,Autumn Womens Button Up Shirt Cotton Tops and Blouses Casual Long Sleeve Ladies Shirts Pink/White Blusas Blusa Feminina Tops,32898763242,https://ae01.alicdn.com/kf/H669a52bc7e8e4967b5794a1ba72f9c0fA/Autumn-Womens-Button-Up-Shirt-Cotton-Tops-and-Blouses-Casual-Long-Sleeve-Ladies-Shirts-Pink-White.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H669a52bc7e8e4967b5794a1ba72f9c0fA.jpg,https://ae04.alicdn.com/kf/H39c3e24fe54440069730a09d9fcb4b3c9.jpg,https://ae04.alicdn.com/kf/Hd3887f857c024a54b4cc8f1ea582654an.jpg,https://ae04.alicdn.com/kf/H5c6fe0f7093043be900f565df1c95bc7I.jpg,https://ae04.alicdn.com/kf/Ha6366697968d47c885f0b1a04c146320x.jpg,",https://www.aliexpress.com/item/32898763242.html,15.97,7.98,13.50%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AAELo9
Blouses & Shirts,200000346,Autumn Korean Silk Women Blouses Women Long Sleeve Shirts Blouse Elegant Woman Bow Satin Shirt Tops Blusas Mujer De Moda,1005001285874986,https://ae01.alicdn.com/kf/H30d07a2de5df4aa9bcab1128aabe6decg/Autumn-Korean-Silk-Women-Blouses-Women-Long-Sleeve-Shirts-Blouse-Elegant-Woman-Bow-Satin-Shirt-Tops.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H30d07a2de5df4aa9bcab1128aabe6decg.jpg,https://ae04.alicdn.com/kf/H4d055691d1964da4a9a930904d350cb8Y.jpg,https://ae04.alicdn.com/kf/H0aeb3a04295e4f788ad0d4e6b606c5ffW.jpg,https://ae04.alicdn.com/kf/Hc566ecb845dc4bb191b41ad08a494867j.jpg,https://ae04.alicdn.com/kf/H611bec990225471bbeb31b08328f1893K.jpg,",https://www.aliexpress.com/item/1005001285874986.html,33.00,16.50,10.50%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9H5foV
Blouses & Shirts,200000346,Korean Fashion Women Button Up Shirt Elegant Women COTTON Blouses Woman White Shirts Blusas Mujer De Moda Women Tops,4000074649773,https://ae01.alicdn.com/kf/H8181dd54a025441589340f934e8535b8V/Korean-Fashion-Women-Button-Up-Shirt-Elegant-Women-COTTON-Blouses-Woman-White-Shirts-Blusas-Mujer-De.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8181dd54a025441589340f934e8535b8V.jpg,https://ae04.alicdn.com/kf/Hb96aaf7d06fe436d8c0a16172af33790f.jpg,https://ae04.alicdn.com/kf/H8b52f235315b443e83376ceeefbd0a51E.jpg,https://ae04.alicdn.com/kf/H4d168aacd89b44e1a10e3d500384e8a2Q.jpg,https://ae04.alicdn.com/kf/H4a09371d1c6b4c96bb6b036482d2a2deR.jpg,",https://www.aliexpress.com/item/4000074649773.html,12.97,1.48,10.50%,2098-12-31,88%,https://s.click.aliexpress.com/e/_APx2Zx
Blouses & Shirts,200000346,Spring Korean Fashion Silk Women Blouses Satin Solid Womens Tops and Blouses Loose Office Lady Long Sleeve White Women Shirts,4000703167701,https://ae01.alicdn.com/kf/H2e5f6781f67f4063b81587e55aeb7f0aC/Spring-Korean-Fashion-Silk-Women-Blouses-Satin-Solid-Womens-Tops-and-Blouses-Loose-Office-Lady-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2e5f6781f67f4063b81587e55aeb7f0aC.jpg,https://ae04.alicdn.com/kf/H1d1bfd5d6dd94e36a4fafa79b0f2fb79g.jpg,https://ae04.alicdn.com/kf/Hb66eef6591ef4466ac6e2082e2a78cf8I.jpg,https://ae04.alicdn.com/kf/Haf146c6f37e6447eba3a70b4145166ffg.jpg,https://ae04.alicdn.com/kf/Ha6f285c8f7ae4e988d72ec75c45a7483C.jpg,",https://www.aliexpress.com/item/4000703167701.html,35.36,17.68,10.50%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9foCD7
Blouses & Shirts,200000346,Autumn Korean Silk Women Button Up Shirt Women Satin Blouse Shirts Office Lady Solid Long Sleeve Shirt Tops Blusas Mujer De Moda,4000773872263,https://ae01.alicdn.com/kf/H0a16ccc9bfbe40ffaa899c18a919ec53d/Autumn-Korean-Silk-Women-Button-Up-Shirt-Women-Satin-Blouse-Shirts-Office-Lady-Solid-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0a16ccc9bfbe40ffaa899c18a919ec53d.jpg,https://ae04.alicdn.com/kf/H64ad6c6256c34083969ee6fb0e8dffed5.jpg,https://ae04.alicdn.com/kf/Hfbb7dca31d694043a722df90c091403a1.jpg,https://ae04.alicdn.com/kf/H80878f70c74f4353aeb0d82b083ca724B.jpg,https://ae04.alicdn.com/kf/H99d19021ffca4dc48a6d6e8398085302Y.jpg,",https://www.aliexpress.com/item/4000773872263.html,35.36,17.68,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AWavgH
Blouses & Shirts,200000346,Long Sleeve White Shirt Teen Girls Women Spring Autumn Japanese Preppy Style Kawaii Frilly Peter Pan Collar Lolita Blouse Tops,4001308382375,https://ae01.alicdn.com/kf/He73fb93d7d8d4f50b60e49eeafa81a12o/Long-Sleeve-White-Shirt-Teen-Girls-Women-Spring-Autumn-Japanese-Preppy-Style-Kawaii-Frilly-Peter-Pan.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He73fb93d7d8d4f50b60e49eeafa81a12o.jpg,https://ae04.alicdn.com/kf/H00c819acd2a74a68b5ad5a1b162e70ec9.jpg,https://ae04.alicdn.com/kf/Hc812bd8a2d4f4f13b2fdc75871fec503C.jpg,https://ae04.alicdn.com/kf/He4865a58214d43e1950d15433f82e59eH.jpg,https://ae04.alicdn.com/kf/H7b986acacf5f4bb7b5629c4c7d2f7f7dp.jpg,",https://www.aliexpress.com/item/4001308382375.html,21.37,14.96,11.50%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9yB5jj
Blouses & Shirts,200000346,Korean Fashion Women Shirts Office Lady Cotton Blouse Blusas Mujer De Moda Short Sleeve Women Blouses Elegant Women Shirt,4000046356332,https://ae01.alicdn.com/kf/H7e4bff0a76294daeb43865b8f190fd80e/Korean-Fashion-Women-Shirts-Office-Lady-Cotton-Blouse-Blusas-Mujer-De-Moda-Short-Sleeve-Women-Blouses.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7e4bff0a76294daeb43865b8f190fd80e.jpg,https://ae04.alicdn.com/kf/H4b79a8b85c21443c95be54e8f962fd59Y.jpg,https://ae04.alicdn.com/kf/He88277d78c6b48dcaeebbf47c0ceb4f88.jpg,https://ae04.alicdn.com/kf/He017b0134ef04886a6fa8b5acf265989m.jpg,https://ae04.alicdn.com/kf/Hc3f8abc11d8c45a09aa2b11ed9d8f0ed7.jpg,",https://www.aliexpress.com/item/4000046356332.html,11.50,8.05,10.50%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AtF8e9
Blouses & Shirts,200000346,Korean Fashion Silk Women Blouses Satin Flower Batwing Sleeve White Women Shirts Loose Blusas Femininas Elegante,33041362933,https://ae01.alicdn.com/kf/H1a1e048fc14e46b7909d14ac904688b0o/Korean-Fashion-Silk-Women-Blouses-Satin-Flower-Batwing-Sleeve-White-Women-Shirts-Loose-Blusas-Femininas-Elegante.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1a1e048fc14e46b7909d14ac904688b0o.jpg,https://ae04.alicdn.com/kf/Hdf53faeba9b449229cc59c8a22111572e.jpg,https://ae04.alicdn.com/kf/He9172f5dec16468fbefa5cc8f03ee745M.jpg,https://ae04.alicdn.com/kf/H2f682d65bcff4d3cb2b37e22bdd7b632v.jpg,https://ae04.alicdn.com/kf/H9f802cd9883f45f6a3a76e058ab54b1d9.jpg,",https://www.aliexpress.com/item/33041362933.html,21.20,10.60,10.50%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9HR88v
