Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Customized Jewelry,201239108,Gold-Plated 3D Hard Gold Horn Flower Bracelet Necklace Ring Three-Piece Set Vietnam Sand Gold Imitation Green Agate Jewelry Set,1005003362016749,https://ae01.alicdn.com/kf/H4a1508fff6bf47feb7165e3fd90a773dQ/Gold-Plated-3D-Hard-Gold-Horn-Flower-Bracelet-Necklace-Ring-Three-Piece-Set-Vietnam-Sand-Gold.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4a1508fff6bf47feb7165e3fd90a773dQ.jpg,https://ae04.alicdn.com/kf/H17a85301c3bb48beaf527b3f7519d577w.jpg,https://ae04.alicdn.com/kf/H0bc54910e62c46fd9d9a7fe02ee83a183.jpg,https://ae04.alicdn.com/kf/H1a073ab67a4044d4a51b3f9b4a2f66e5O.jpg,https://ae04.alicdn.com/kf/H5158c1fd80344efe81d1285008390506J.jpg,",https://www.aliexpress.com/item/1005003362016749.html,11.36,9.09,10.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AYuPDP
Customized Jewelry,201239108,Trendy Couple Customized Keychains Her King His Queen Lettering Keyring Heart Diy Accessories For Girlfriend Boyfriend Gift,1005002524432763,https://ae01.alicdn.com/kf/H5fd2a54661924b6aaa865b21ea53a07eS/Trendy-Couple-Customized-Keychains-Her-King-His-Queen-Lettering-Keyring-Heart-Diy-Accessories-For-Girlfriend-Boyfriend.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5fd2a54661924b6aaa865b21ea53a07eS.jpg,https://ae04.alicdn.com/kf/H8f4202589c1b40cbbc7446deddaf3676S.jpg,https://ae04.alicdn.com/kf/H7f1c48d600874c86a48ea731f5399eaeW.jpg,https://ae04.alicdn.com/kf/H4f3f39f31f5b4237b1a874f208790ce9Y.jpg,https://ae04.alicdn.com/kf/Hc82cf534b35642f8a9817965d4ae20c90.jpg,",https://www.aliexpress.com/item/1005002524432763.html,2.55,1.78,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9QyvkN
Customized Jewelry,201239108,Vietnam Sand Gold Jewelry White Magnolia Flower Pendant Ring Bracelet Set Wedding Retro 24K Gold Plated Jewelry Set,1005003362029545,https://ae01.alicdn.com/kf/Hcd520050690647be8470138363742beah/Vietnam-Sand-Gold-Jewelry-White-Magnolia-Flower-Pendant-Ring-Bracelet-Set-Wedding-Retro-24K-Gold-Plated.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcd520050690647be8470138363742beah.jpg,https://ae04.alicdn.com/kf/He1c07be8239e4c30bf4e9775b6772a07X.jpg,https://ae04.alicdn.com/kf/H157f74179ed5421d93f5209adba99aafl.jpg,https://ae04.alicdn.com/kf/H20c6df39017f46a999cdd59f11d20ad2i.jpg,https://ae04.alicdn.com/kf/H75491f44d5924fba9848fa8b0dd152506.jpg,",https://www.aliexpress.com/item/1005003362029545.html,11.36,9.09,10.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_A5p6uD
Customized Jewelry,201239108,Brass Jewelry Vietnam Sand Gold Imitation Gold 3D Hard Gold Couple Models Gold-Plated Multiple Love Suits Sand Gold Bracelet,1005003359573566,https://ae01.alicdn.com/kf/H9a22b3b8b8214cd287434bb7a5ea18958/Brass-Jewelry-Vietnam-Sand-Gold-Imitation-Gold-3D-Hard-Gold-Couple-Models-Gold-Plated-Multiple-Love.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9a22b3b8b8214cd287434bb7a5ea18958.jpg,https://ae04.alicdn.com/kf/He8b37d1a5cf54ebca7df531e3a15085da.jpg,https://ae04.alicdn.com/kf/Had59b6851bf24e49b78c4d821387c9775.jpg,https://ae04.alicdn.com/kf/Hd99cfe9810e745d28623f7b197ea923b6.jpg,https://ae04.alicdn.com/kf/Hf29cd0ac91e7457ab27171c84e4c1421J.jpg,",https://www.aliexpress.com/item/1005003359573566.html,11.05,7.18,10.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_A3vfzP
Customized Jewelry,201239108,Anti-lost Personalized Pet ID Tag Keychain Engraved Pet ID Name for Cat Puppy Dog Collar Tag Pendant Keyring Pet Accessories,1005001614557119,https://ae01.alicdn.com/kf/H770a8621fe5443c8bf1ae2e877dfc4f5f/Anti-lost-Personalized-Pet-ID-Tag-Keychain-Engraved-Pet-ID-Name-for-Cat-Puppy-Dog-Collar.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H770a8621fe5443c8bf1ae2e877dfc4f5f.jpg,https://ae04.alicdn.com/kf/H5606db027a04479080afdbd9fc143ff9g.jpg,https://ae04.alicdn.com/kf/Hd82c27948ca04900b8341a4a9ca00ec8i.jpg,https://ae04.alicdn.com/kf/Hd3ccde6030fc46d7ad5f2ca8be101626H.jpg,https://ae04.alicdn.com/kf/H061fcf9ffc404ed5b36ebef497e98d5bq.jpg,",https://www.aliexpress.com/item/1005001614557119.html,2.77,1.55,8.00%,2098-12-31,44%,https://s.click.aliexpress.com/e/_AAQCot
Customized Jewelry,201239108,Custom Name Shoe-buckle Personalized Jewelry Stainless Steel Nameplate Buckie Gold Charm Fashion Bijoux Fashion Shoe Tags,1005001987262966,https://ae01.alicdn.com/kf/H4aad39812c824a58970956aa3b915949c/Custom-Name-Shoe-buckle-Personalized-Jewelry-Stainless-Steel-Nameplate-Buckie-Gold-Charm-Fashion-Bijoux-Fashion-Shoe.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4aad39812c824a58970956aa3b915949c.jpg,https://ae04.alicdn.com/kf/H673e0821eab947aabe04fcd998956a538.jpg,https://ae04.alicdn.com/kf/H8b92ed9445614758a48d7ba1ff584bacw.jpg,https://ae04.alicdn.com/kf/Heaa597eabbee45688387a0b9663f63e5I.jpg,https://ae04.alicdn.com/kf/H6d1fe621ac014c0fac2b1f09b0d6648ac.jpg,",https://www.aliexpress.com/item/1005001987262966.html,5.00,3.50,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AlGCIV
Customized Jewelry,201239108,Custom Name Infinity Symbol Hollow Love Stainless Steel Bracelet For Women Men Shape 8 Bracelets Personalized Couple jewelry,1005003368042821,https://ae01.alicdn.com/kf/H179ac21fcd634779851a2ed009b40b4dc/Custom-Name-Infinity-Symbol-Hollow-Love-Stainless-Steel-Bracelet-For-Women-Men-Shape-8-Bracelets-Personalized.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H179ac21fcd634779851a2ed009b40b4dc.jpg,https://ae04.alicdn.com/kf/He8587f8c905a43df98b34320bbd803cdd.jpg,https://ae04.alicdn.com/kf/H7d95a16ddaaf4724a763748475713644b.jpg,https://ae04.alicdn.com/kf/H1b4c5eac5a05475eb665de79e060c408G.jpg,https://ae04.alicdn.com/kf/Ha1f7e55246964399bdb3f97a361882dcS.jpg,",https://www.aliexpress.com/item/1005003368042821.html,8.27,4.55,10.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_AFioPX
Customized Jewelry,201239108,Custom Any number Necklaces Hip Hop Basketball Number Legend 23 Necklaces Jewelry For Men Stainless Steel Gold Chain Women Gift,1005003356395409,https://ae01.alicdn.com/kf/Hc1cc45198b6f49b8825cda65628efff3J/Custom-Any-number-Necklaces-Hip-Hop-Basketball-Number-Legend-23-Necklaces-Jewelry-For-Men-Stainless-Steel.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc1cc45198b6f49b8825cda65628efff3J.jpg,https://ae04.alicdn.com/kf/H3cb34fd65842434984c235f2bfe742a2C.jpg,https://ae04.alicdn.com/kf/H74ecaa1c93f1461fb2ae3b525cdb1ddaV.jpg,https://ae04.alicdn.com/kf/H35423b2fc7ae4a1b871c01ffdc71b10f8.jpg,https://ae04.alicdn.com/kf/H4efcff4e67214bd6b52eb778b4302a210.jpg,",https://www.aliexpress.com/item/1005003356395409.html,6.99,3.84,10.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_A0Bal3
Customized Jewelry,201239108,Custom Text Photo ID Keychain 12 Months Birthstone Heart Ring Stainless Steel Key Chain Personalized Gift for Women Men Jewelry,1005003367830061,https://ae01.alicdn.com/kf/H8c7642b8835440c29e3e33afc0e0da84a/Custom-Text-Photo-ID-Keychain-12-Months-Birthstone-Heart-Ring-Stainless-Steel-Key-Chain-Personalized-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8c7642b8835440c29e3e33afc0e0da84a.jpg,https://ae04.alicdn.com/kf/Hc48e98a2546c428b8e51a3fa45bba38bS.jpg,https://ae04.alicdn.com/kf/H4c3cc443e7734395860eda8c6662be14L.jpg,https://ae04.alicdn.com/kf/H37d41109f1d24331b02f0113fa1cb59aE.jpg,https://ae04.alicdn.com/kf/H2291c9fdc99746b1b6893a0f86b05566h.jpg,",https://www.aliexpress.com/item/1005003367830061.html,4.12,3.79,8.00%,2098-12-31,8%,https://s.click.aliexpress.com/e/_9IFMop
Customized Jewelry,201239108,Custom Name Shape 8 Stainless Steel Bracelet For Women Men Infinity Symbol Hollow Love Bracelets Personalized Couple jewelry,1005003368103379,https://ae01.alicdn.com/kf/H7dc1c2f3747942d1ad6adc9b416f990c4/Custom-Name-Shape-8-Stainless-Steel-Bracelet-For-Women-Men-Infinity-Symbol-Hollow-Love-Bracelets-Personalized.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7dc1c2f3747942d1ad6adc9b416f990c4.jpg,https://ae04.alicdn.com/kf/Ha618237de6a14b6ab2d993eda99de987H.jpg,https://ae04.alicdn.com/kf/H6d08a40d107d4ec183dc353b0fd3cae4a.jpg,https://ae04.alicdn.com/kf/He6654208f24f4dc0ad95bf452099bd8f8.jpg,https://ae04.alicdn.com/kf/H63029da0270c4393a49c0db37bc4dbbbq.jpg,",https://www.aliexpress.com/item/1005003368103379.html,8.27,4.55,8.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_A3ni1F
Customized Jewelry,201239108,Custom Key Chain Couples Boyfriend Girlfriend Keychain Ring Anniversary Gifts for Him Her Pinky Promise Initial Letters Keyring,1005001608119281,https://ae01.alicdn.com/kf/He39b2935beb945c4bd55f0513a87cdc1R/Custom-Key-Chain-Couples-Boyfriend-Girlfriend-Keychain-Ring-Anniversary-Gifts-for-Him-Her-Pinky-Promise-Initial.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He39b2935beb945c4bd55f0513a87cdc1R.jpg,https://ae04.alicdn.com/kf/H78580dee7eec4386b7a04171547ee50dp.jpg,https://ae04.alicdn.com/kf/Hdff84298f11f426b95f547651d58c34bT.jpg,https://ae04.alicdn.com/kf/Hd7a55fd9fc514d369f10b8dd1b14e8164.jpg,https://ae04.alicdn.com/kf/H5e1de620df45441a877eafb0dc72dabdG.jpg,",https://www.aliexpress.com/item/1005001608119281.html,3.30,1.85,8.00%,2098-12-31,44%,https://s.click.aliexpress.com/e/_AXSUmH
Customized Jewelry,201239108,2022 New Neo-Gothic Personalized Name Necklaces for Men Nameplate Jewelry Stainless Steel Women Gold Custom Letter Necklace Gift,1005003356216097,https://ae01.alicdn.com/kf/Hc4b3aea9dc414f7fa6d2263c2fb3c62b5/2022-New-Neo-Gothic-Personalized-Name-Necklaces-for-Men-Nameplate-Jewelry-Stainless-Steel-Women-Gold-Custom.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc4b3aea9dc414f7fa6d2263c2fb3c62b5.jpg,https://ae04.alicdn.com/kf/H74ecaa1c93f1461fb2ae3b525cdb1ddaV.jpg,https://ae04.alicdn.com/kf/H9a38a4a650fa4fa1901ebb343fb80d52V.jpg,https://ae04.alicdn.com/kf/H466038526f574c57813aa6e186ece793a.jpg,https://ae04.alicdn.com/kf/H92adc8c10c5b429cae40594f0d300ea3r.jpg,",https://www.aliexpress.com/item/1005003356216097.html,6.99,3.84,10.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_9IHt8V
Customized Jewelry,201239108,Customized Name Necklace Stainless Steel Birth Flower Pendant Personalized Nameplate Necklaces Ins Women Jewelry Birthday Gifts,1005003357637636,https://ae01.alicdn.com/kf/H82a445241cad492d9134786fe22c12deo/Customized-Name-Necklace-Stainless-Steel-Birth-Flower-Pendant-Personalized-Nameplate-Necklaces-Ins-Women-Jewelry-Birthday-Gifts.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H82a445241cad492d9134786fe22c12deo.jpg,https://ae04.alicdn.com/kf/Hacb73c2e3cfe4cd9ba848217213636a9O.jpeg,https://ae04.alicdn.com/kf/Hd6ba2a51a0aa45a9812842f3346b41f1U.jpeg,https://ae04.alicdn.com/kf/H5228e6be80914cbaabd601ddc703a65ez.jpg,https://ae04.alicdn.com/kf/Hf6da0f40a4bb42f686b6b7948291c7d3I.jpg,",https://www.aliexpress.com/item/1005003357637636.html,52.18,39.13,10.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AtRtet
Customized Jewelry,201239108,Vietnam Shajin Ladies Flower Ring Brass Gold Plated Flower Necklace Bracelet Three-Piece Set Wedding Jewelry,1005003362114141,https://ae01.alicdn.com/kf/H2881b93709ce4af984ceaeb1499073b9t/Vietnam-Shajin-Ladies-Flower-Ring-Brass-Gold-Plated-Flower-Necklace-Bracelet-Three-Piece-Set-Wedding-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2881b93709ce4af984ceaeb1499073b9t.jpg,https://ae04.alicdn.com/kf/H8bb5e7df1ad744508acb91e7acdc6d97u.jpg,https://ae04.alicdn.com/kf/H7dec27ba81df47ea908d748f5573badct.jpg,https://ae04.alicdn.com/kf/H09a8e90b27984bc0b549560b2d62bb3ac.jpg,https://ae04.alicdn.com/kf/H942c5f2fcd754e6495ae87875d083672l.jpg,",https://www.aliexpress.com/item/1005003362114141.html,11.36,9.32,10.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_9gdjDr
Customized Jewelry,201239108,Personalized Acrylic Name Necklace Customized Name Necklaces Nameplate Pendant Necklaces Color Chain Women Jewelry Birthday Gift,1005003353589722,https://ae01.alicdn.com/kf/H039f74aec9e644a498dd2f3614a206d0v/Personalized-Acrylic-Name-Necklace-Customized-Name-Necklaces-Nameplate-Pendant-Necklaces-Color-Chain-Women-Jewelry-Birthday-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H039f74aec9e644a498dd2f3614a206d0v.jpg,https://ae04.alicdn.com/kf/H1a732e58d0ca455b939b48c255bc5841r.jpg,https://ae04.alicdn.com/kf/H2b7ea732a5ae49f79a861bcd5020a56e1.jpg,https://ae04.alicdn.com/kf/H0e2af0734b484ec784b193a808ad38d4a.jpg,https://ae04.alicdn.com/kf/Hc2c296a1869745448aa3980bb45de2acw.jpg,",https://www.aliexpress.com/item/1005003353589722.html,55.88,41.91,10.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AlEFKp
Customized Jewelry,201239108,Custom 1-3 names Infinity Symbol Hollow Love Bracelet For Women Men Personalized Stainless Steel Jewelry bangles Family gifts,1005003367988612,https://ae01.alicdn.com/kf/He5943587643143d18b16d6c7c1edbf05t/Custom-1-3-names-Infinity-Symbol-Hollow-Love-Bracelet-For-Women-Men-Personalized-Stainless-Steel-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He5943587643143d18b16d6c7c1edbf05t.jpg,https://ae04.alicdn.com/kf/H3fcd71a14cd94756bdfa3a527c2130f5N.jpg,https://ae04.alicdn.com/kf/H1d1902c8c58b4ac2afde8a2cf7ca782cg.jpg,https://ae04.alicdn.com/kf/H7f529afaddce403ab79be339e49074a81.jpg,https://ae04.alicdn.com/kf/Hb4dedcaa83664647b8bbc0bc4fa1db13M.jpg,",https://www.aliexpress.com/item/1005003367988612.html,8.27,4.55,8.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_AdaZwt
