Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Faux Leather,200001909,MOLAN European Style Leather Top Woman 2021 New Fashion Stand-Up Bow Brown Leather Pullover Top Female High Street Outwear,1005003366847589,https://ae01.alicdn.com/kf/Hbf4f21b7b90b48d58ee2d20a2129aa70W/MOLAN-European-Style-Leather-Top-Woman-2021-New-Fashion-Stand-Up-Bow-Brown-Leather-Pullover-Top.png_220x220.png,"https://ae04.alicdn.com/kf/Hbf4f21b7b90b48d58ee2d20a2129aa70W.png,https://ae04.alicdn.com/kf/He926ea407c214882ae5cf2fa6bf12221T.png,https://ae04.alicdn.com/kf/Hbd1d297064d34ba8971fa84ea52fa9abt.png,https://ae04.alicdn.com/kf/Hf70ac2721cf248bb88fce2f019037874x.png,https://ae04.alicdn.com/kf/Hb5eb4d2b63894e1ba926eb09eef5ac95r.png,",https://www.aliexpress.com/item/1005003366847589.html,33.90,20.34,25.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AMLOnf
Faux Leather,200001909,Casual Fashion New Faux Fur Fox Fur Women Hoodies Coat 2021 Winter Warm Fake Fox Fur Jackets Long Sleeve Fur Thick Coats Jacket,1005003356056065,https://ae01.alicdn.com/kf/H85622fe27d9a44cc89692ece95d26d8dC/Casual-Fashion-New-Faux-Fur-Fox-Fur-Women-Hoodies-Coat-2021-Winter-Warm-Fake-Fox-Fur.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H85622fe27d9a44cc89692ece95d26d8dC.jpg,https://ae04.alicdn.com/kf/Hdad97afd94ab4a86befb21384437608f0.jpg,https://ae04.alicdn.com/kf/Ha7f422f9f3e44cef916179dab051c8e9h.jpg,https://ae04.alicdn.com/kf/H24e1e1447e1a418892eb752138932543n.jpg,https://ae04.alicdn.com/kf/H2a3313a3d7c44c13986565d126ba36b2q.jpg,",https://www.aliexpress.com/item/1005003356056065.html,25.81,24.26,10.00%,2098-12-31,6%,https://s.click.aliexpress.com/e/_97A39P
Faux Leather,200001909,Autumn Winter Fashion Pu Faux Leather Jackets Women Long Sleeve Zipper Slim Motor Jacket Biker Leather Coat Female Outwear Tops,1005003144360163,https://ae01.alicdn.com/kf/H18a38198e20c4bf69d0ad5061a43df59a/Autumn-Winter-Fashion-Pu-Faux-Leather-Jackets-Women-Long-Sleeve-Zipper-Slim-Motor-Jacket-Biker-Leather.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H18a38198e20c4bf69d0ad5061a43df59a.jpg,https://ae04.alicdn.com/kf/Heb64fcb736c249e79dc566a51be4f63dR.jpg,https://ae04.alicdn.com/kf/H9938a5db3eee42e68415015e67b6c23fo.jpg,https://ae04.alicdn.com/kf/Hb6431b5e03d24964a28318f5a2966489x.jpg,https://ae04.alicdn.com/kf/H16c298ab120b4d0a84f63c7e5332f6b1h.jpg,",https://www.aliexpress.com/item/1005003144360163.html,67.80,27.12,15.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_9RrByH
Faux Leather,200001909,New Design Pu Faux Leather Jacket Women's Clothes Long Sleeve Turndown-collar Rivet Female Casual Streetwear Motorcycle Jackets,1005003276041736,https://ae01.alicdn.com/kf/H497a90fc1d3d43d6985bc127f93ac840n/New-Design-Pu-Faux-Leather-Jacket-Women-s-Clothes-Long-Sleeve-Turndown-collar-Rivet-Female-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H497a90fc1d3d43d6985bc127f93ac840n.jpg,https://ae04.alicdn.com/kf/H6e5e80dab0fe4b7884eef7713368c410d.jpg,https://ae04.alicdn.com/kf/H62d27599b47f4da597d83f70ef4578ab1.jpg,https://ae04.alicdn.com/kf/H8601d0befabe4c98a59827beb20f3185R.jpg,https://ae04.alicdn.com/kf/H78f5d4c6e2c341088ebc1ed17cdea8e1m.jpg,",https://www.aliexpress.com/item/1005003276041736.html,67.76,33.88,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A5ZJ61
Faux Leather,200001909,MOLAN Chic Loose PU Jacket Woman Big Pocaets O Neck Casual Long Sleeve Outwear Female Spring Coat Solid Black Outwear Top,1005002970465281,https://ae01.alicdn.com/kf/H908d78f5dbb54182969af715b4c9bb36K/MOLAN-Chic-Loose-PU-Jacket-Woman-Big-Pocaets-O-Neck-Casual-Long-Sleeve-Outwear-Female-Spring.png_220x220.png,"https://ae04.alicdn.com/kf/H908d78f5dbb54182969af715b4c9bb36K.png,https://ae04.alicdn.com/kf/H8910b9cbb3ec40be96e481d4ad04916dP.jpg,https://ae04.alicdn.com/kf/H1b9c1432bdbe4b92aa70873585fdbd5cs.png,https://ae04.alicdn.com/kf/H0958582e65ef4c4face402088022bd7ey.png,https://ae04.alicdn.com/kf/H3f170d5ab3bb4ae79009c6bbfe4951640.png,",https://www.aliexpress.com/item/1005002970465281.html,49.70,29.82,10.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AZyZsl
Faux Leather,200001909,Solid Color Casual Faux Leather Jackets And Coats Women Long Sleeve Zipper Hem Rivet Tops Female Motorcycle Jacket Autumn 2021,1005003275822094,https://ae01.alicdn.com/kf/H9cebe8213f2a4de1ac68f05e73a4d0c3l/Solid-Color-Casual-Faux-Leather-Jackets-And-Coats-Women-Long-Sleeve-Zipper-Hem-Rivet-Tops-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9cebe8213f2a4de1ac68f05e73a4d0c3l.jpg,https://ae04.alicdn.com/kf/H966b7f23bcf54d04848fabf875dc9b869.jpg,https://ae04.alicdn.com/kf/H53da88ec042248e7a0856fd21f6162e3B.jpg,https://ae04.alicdn.com/kf/Hb8742f290523474ea4d6d346e5bda003A.jpg,https://ae04.alicdn.com/kf/H16d5d3b0ca7040a48b3440c4c1f6cccdJ.jpg,",https://www.aliexpress.com/item/1005003275822094.html,65.76,32.88,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9QYTm1
Faux Leather,200001909,Women Fashion Leather Jacket Winter Oversized Long Sleeve Zipper Female Faux Coat 20201 New Arrival Outwear Black Jacket,1005002530939738,https://ae01.alicdn.com/kf/Heeed6cbe88414fa3808a3d2610e37f7bN/Women-Fashion-Leather-Jacket-Winter-Oversized-Long-Sleeve-Zipper-Female-Faux-Coat-20201-New-Arrival-Outwear.png_220x220.png,"https://ae04.alicdn.com/kf/Heeed6cbe88414fa3808a3d2610e37f7bN.png,https://ae04.alicdn.com/kf/H57921f985bd1416ab54dcc8bcdc71551i.jpg,https://ae04.alicdn.com/kf/Hbc1910a0f3dc4ad59bb73a10e0849592P.jpg,https://ae04.alicdn.com/kf/Hd57312ed07a343f5b03ae2e6f03bf8b1C.jpg,https://ae04.alicdn.com/kf/H717a0568f11d46679d3c47e85ce7d3d22.jpg,",https://www.aliexpress.com/item/1005002530939738.html,39.90,23.94,50.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A4x4wl
Faux Leather,200001909,MOLAN Oversize PU Leather Trench Coat Woman 2021 New Fashion Singale Breasted Long Sleeve Winter Jacket Female Chic Outwear,1005003366793260,https://ae01.alicdn.com/kf/Hdb6b7223fffa495f901cdb8f736fe15bB/MOLAN-Oversize-PU-Leather-Trench-Coat-Woman-2021-New-Fashion-Singale-Breasted-Long-Sleeve-Winter-Jacket.png_220x220.png,"https://ae04.alicdn.com/kf/Hdb6b7223fffa495f901cdb8f736fe15bB.png,https://ae04.alicdn.com/kf/H69deadc7fbec40f390e137213cfaef72I.png,https://ae04.alicdn.com/kf/Hcb61eac0e8ea4c23a0e59beb5d413f6aL.png,https://ae04.alicdn.com/kf/H91f0e0ae7dc6465aa0967aef983e22fcY.png,https://ae04.alicdn.com/kf/Hcf19e09a3f5a4ca69fbf241f21b83c95M.png,",https://www.aliexpress.com/item/1005003366793260.html,59.70,35.82,25.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AfR7lB
Faux Leather,200001909,2021 Motorcycle Pu Faux Leather Jacket Women Autumn Winter Long Sleeve Stand-collar Short Jackets Female Fashion Streetwear Coat,1005003275121841,https://ae01.alicdn.com/kf/H218cdf4ad1a54185b1531a8700266c07m/2021-Motorcycle-Pu-Faux-Leather-Jacket-Women-Autumn-Winter-Long-Sleeve-Stand-collar-Short-Jackets-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H218cdf4ad1a54185b1531a8700266c07m.jpg,https://ae04.alicdn.com/kf/Hd35e96c918194f9cbcef5a3dc3cdc83bz.jpg,https://ae04.alicdn.com/kf/H4d86ac7d89ec4013bdea116ee91a5abaG.jpg,https://ae04.alicdn.com/kf/H9f4e402787cf47f2be32d3602e6a86fal.jpg,https://ae04.alicdn.com/kf/H3419a7f74cbd43d0964aaa733e434be14.jpg,",https://www.aliexpress.com/item/1005003275121841.html,65.76,32.88,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9R406H
Faux Leather,200001909,Long Sleeve Lapel Midi Leather Windbreaker Jacket Women Winter New Plus Velvet Single-breasted Lace-up Coat Lady Casual Jackets,1005003281912263,https://ae01.alicdn.com/kf/H4c12e995b32842eb817f1ae737c5ed25A/Long-Sleeve-Lapel-Midi-Leather-Windbreaker-Jacket-Women-Winter-New-Plus-Velvet-Single-breasted-Lace-up.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4c12e995b32842eb817f1ae737c5ed25A.jpg,https://ae04.alicdn.com/kf/H48afa6f71c5e4bbdbea494398af03f4f9.jpg,https://ae04.alicdn.com/kf/H23ede398e4954146a800699d2a8fd7d5S.jpg,https://ae04.alicdn.com/kf/Hafbe9b36d86443a580a8964c74de37d9X.jpg,https://ae04.alicdn.com/kf/H68ac7b0768454addac27515c892d17eec.jpg,",https://www.aliexpress.com/item/1005003281912263.html,85.76,42.88,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A5X2s1
Faux Leather,200001909,MOLAN Women Black Faux Leather Jacket 2021 Autumn Winter Ladies Thick Wool Liner Sashes Streetwear Coat Female Pocket Outerwear,1005003322217438,https://ae01.alicdn.com/kf/H76b5e2ef6be84397a643680daaf5aad4Z/MOLAN-Women-Black-Faux-Leather-Jacket-2021-Autumn-Winter-Ladies-Thick-Wool-Liner-Sashes-Streetwear-Coat.png_220x220.png,"https://ae04.alicdn.com/kf/H76b5e2ef6be84397a643680daaf5aad4Z.png,https://ae04.alicdn.com/kf/Hc54f2d4eb4664a66b5b3eb7a80fb089cL.png,https://ae04.alicdn.com/kf/Hc67300a7f66348898b378cbd09e545daO.png,https://ae04.alicdn.com/kf/Hb76488fa3a414c2db6f098bc2a6da599D.png,https://ae04.alicdn.com/kf/Ha5229b7289044e32a8dc6c889583c1ebY.png,",https://www.aliexpress.com/item/1005003322217438.html,61.10,36.66,50.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_Ag7YZL
