Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Fine Jewelry,200001680,New 925 Sterling Silver Beads Simple Beaded Bracelet Jewelry Accessories Silicone Sterling Silver Spacer Beads Charms Pandora,1005003369080067,https://ae01.alicdn.com/kf/Hc11e0515cdbe49228005e3c461e3c751d/New-925-Sterling-Silver-Beads-Simple-Beaded-Bracelet-Jewelry-Accessories-Silicone-Sterling-Silver-Spacer-Beads-Charms.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc11e0515cdbe49228005e3c461e3c751d.jpg,https://ae04.alicdn.com/kf/H1a84d89c4b1e4d29ad8b31ddd5c781d3L.jpg,https://ae04.alicdn.com/kf/Hee628099b195472997b70e3b110860f2A.jpg,https://ae04.alicdn.com/kf/H848793c607f743e5a68624b013edcb95G.jpg,https://ae04.alicdn.com/kf/Ha63d35ea288846e2a68e56ed9e572bb1u.jpg,",https://www.aliexpress.com/item/1005003369080067.html,8.23,4.11,20.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AEgH7x
Fine Jewelry,200001680,KISS&FLOWER RI120 Fine Jewelry Wholesale Fashion Woman Girl Birthday Wedding Gift Vintage Horns 24KT Gold Resizable Ring,1005003326011954,https://ae01.alicdn.com/kf/H83693286f4e9454896facc15e4e074a2j/KISS-FLOWER-RI120-Fine-Jewelry-Wholesale-Fashion-Woman-Girl-Birthday-Wedding-Gift-Vintage-Horns-24KT-Gold.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H83693286f4e9454896facc15e4e074a2j.jpg,https://ae04.alicdn.com/kf/H7ad199d456e44e4494dabe59d56cd8d5l.jpg,https://ae04.alicdn.com/kf/Hc6dd56d4ae384734b756d669fd7b1ddcU.jpg,https://ae04.alicdn.com/kf/H30c2faa7827e463086561643cfe28138e.jpg,https://ae04.alicdn.com/kf/Hcd63d7cf6a6a4ead9fdc62441233a485t.jpg,",https://www.aliexpress.com/item/1005003326011954.html,8.78,3.51,50.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_AVHlyH
Fine Jewelry,200001680,KISS&FLOWER NK198 Fine Jewelry Wholesale Fashion Woman Girl Bride Mother Birthday Wedding Gift Vintage Coin 24KT Gold Necklace,1005003348370078,https://ae01.alicdn.com/kf/Haafb5acbfe084b6ba4972e6336a980aeh/KISS-FLOWER-NK198-Fine-Jewelry-Wholesale-Fashion-Woman-Girl-Bride-Mother-Birthday-Wedding-Gift-Vintage-Coin.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haafb5acbfe084b6ba4972e6336a980aeh.jpg,https://ae04.alicdn.com/kf/H253e4271235a48789cc6b3a2adfbb3d9e.jpg,https://ae04.alicdn.com/kf/Hba9d360c9b6d4dbdbd89257aed754c24p.jpg,https://ae04.alicdn.com/kf/H900537181ae548fdb903e75329812aa8e.jpg,https://ae04.alicdn.com/kf/Hda5329f95b6d4a4198f5d3c1f4873289T.jpg,",https://www.aliexpress.com/item/1005003348370078.html,13.98,5.59,50.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_Ab536t
Fine Jewelry,200001680,Natural Green Emerald Ring Genuine  S925 Sterling Silver Fashion Vintage May Birthstone Rings For Women Fine Jewelry,1005003363491188,https://ae01.alicdn.com/kf/Heb0a6d76c27e43289d46cdae6aa3f14bv/Natural-Green-Emerald-Ring-Genuine-S925-Sterling-Silver-Fashion-Vintage-May-Birthstone-Rings-For-Women-Fine.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Heb0a6d76c27e43289d46cdae6aa3f14bv.jpg,https://ae04.alicdn.com/kf/Hbea79bbf2181446a9611124f0e455b19A.jpg,https://ae04.alicdn.com/kf/H607c8e1500344c00badafd5fde2e6ef4I.jpg,https://ae04.alicdn.com/kf/Hf320259b69ce4bcf830f3defc824407e4.jpg,https://ae04.alicdn.com/kf/He53b7fa5259e48b69043fa0f7cadd860D.jpg,",https://www.aliexpress.com/item/1005003363491188.html,90.60,45.30,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AVFo01
Fine Jewelry,200001680,KISS&FLOWER NK175 Fine Jewelry Wholesale Fashion Woman Bride Mother Birthday Wedding Gift Vintage Square 24KT Gold  Necklace,1005003343087884,https://ae01.alicdn.com/kf/He64d5d82e7b44cb5bf1ba97e0ce5cc9de/KISS-FLOWER-NK175-Fine-Jewelry-Wholesale-Fashion-Woman-Bride-Mother-Birthday-Wedding-Gift-Vintage-Square-24KT.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He64d5d82e7b44cb5bf1ba97e0ce5cc9de.jpg,https://ae04.alicdn.com/kf/H49038cf483ec4e76beb8fe67dc929284C.jpg,https://ae04.alicdn.com/kf/H12d2b8d15bad4a3eb3316e73d11ea39d8.jpg,https://ae04.alicdn.com/kf/Hbb03d92bd95645ad9c5657312c5cf105l.jpg,https://ae04.alicdn.com/kf/H87630b9412bc477aaae60362f6f3f5d4u.jpg,",https://www.aliexpress.com/item/1005003343087884.html,11.18,4.47,50.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_9GOdQp
Fine Jewelry,200001680,Natural Ametrine 925 Silver Square Necklace Earrings and Rings Jewelry Set for Women Wedding Party Fine Jewelry,1005003366420582,https://ae01.alicdn.com/kf/Hcbadf9bedc164a7682d2942a13a18d00y/Natural-Ametrine-925-Silver-Square-Necklace-Earrings-and-Rings-Jewelry-Set-for-Women-Wedding-Party-Fine.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcbadf9bedc164a7682d2942a13a18d00y.jpg,https://ae04.alicdn.com/kf/H7dcba71f1f794ae6828a404121d41d8bE.jpg,https://ae04.alicdn.com/kf/Hcc6f6382f7d14c42bb6a812046c8a8a5G.jpg,https://ae04.alicdn.com/kf/H0b0b4f1023594ef385df51eab039d8aeN.jpg,https://ae04.alicdn.com/kf/H6f22f39bf55c44fb9092da87fd96782cq.jpg,",https://www.aliexpress.com/item/1005003366420582.html,85.70,42.85,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ACAz4z
Fine Jewelry,200001680,Natural London Blue Topaz Love Heart Ring for Women Real 925 Sterling Silver Fine Party Jewelry luxury jewelry,1005003359335928,https://ae01.alicdn.com/kf/H7e71dd63f8a0401fbb60c81174f33413v/Natural-London-Blue-Topaz-Love-Heart-Ring-for-Women-Real-925-Sterling-Silver-Fine-Party-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7e71dd63f8a0401fbb60c81174f33413v.jpg,https://ae04.alicdn.com/kf/H25411edfffdf4b1f8f12be9c8f9dd7ad3.jpg,https://ae04.alicdn.com/kf/H2f2238a7e75b4814934f5968afb3faa2n.jpg,https://ae04.alicdn.com/kf/H94fb73816ef24c44bd1290f785a04acfk.jpg,https://ae04.alicdn.com/kf/H635902ea06924144ad9e76a00f114957I.jpg,",https://www.aliexpress.com/item/1005003359335928.html,71.36,35.68,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_Aq2ENL
Fine Jewelry,200001680,Simple suit gemstone natural star sapphire necklace ring stud earrings party jewelry 925 sterling silver set,1005003354016814,https://ae01.alicdn.com/kf/Hd5841d700ae147608570750d0eafe608M/Simple-suit-gemstone-natural-star-sapphire-necklace-ring-stud-earrings-party-jewelry-925-sterling-silver-set.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd5841d700ae147608570750d0eafe608M.jpg,https://ae04.alicdn.com/kf/H30785771070a4d109a455647c6db234dj.jpg,https://ae04.alicdn.com/kf/H1f5395e9784249288b2bf146ee73d40fj.jpg,https://ae04.alicdn.com/kf/He479f5f039e145b09bf0686a2b27871dY.jpg,https://ae04.alicdn.com/kf/H1796c9f22b5045f3818803bdcfd0a7eck.jpg,",https://www.aliexpress.com/item/1005003354016814.html,83.16,41.58,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_98qU0t
Fine Jewelry,200001680,100% Natural Ruby Ring for Daily Wear 3mm Round Ruby 925 Sterling SilverJewelry Gift for Woman,1005003357178334,https://ae01.alicdn.com/kf/Hcff7ae1bfb23440a8995c97d88fecdfda/100-Natural-Ruby-Ring-for-Daily-Wear-3mm-Round-Ruby-925-Sterling-SilverJewelry-Gift-for-Woman.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcff7ae1bfb23440a8995c97d88fecdfda.jpg,https://ae04.alicdn.com/kf/H802440f6b8a34977ade46bd90aebd892b.jpg,https://ae04.alicdn.com/kf/He8eddd3673a4406e8819427115b31593j.jpg,https://ae04.alicdn.com/kf/H41bc86b48dff45a5a6379f95e4a5064ev.jpg,https://ae04.alicdn.com/kf/H8aeea3228446434ea86627734734ad5dS.jpg,",https://www.aliexpress.com/item/1005003357178334.html,46.80,23.40,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9vJfYH
Fine Jewelry,200001680,KISS&FLOWER RI131 Fine Jewelry Wholesale Fashion Woman Girl Man Birthday Wedding Gift Vintage Rectangle 24KT Gold Resizable Ring,1005003327078602,https://ae01.alicdn.com/kf/H9e1c4d68823c4d34883cfd0643fce427r/KISS-FLOWER-RI131-Fine-Jewelry-Wholesale-Fashion-Woman-Girl-Man-Birthday-Wedding-Gift-Vintage-Rectangle-24KT.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9e1c4d68823c4d34883cfd0643fce427r.jpg,https://ae04.alicdn.com/kf/H372cef754d20422586826db9845c4195n.jpg,https://ae04.alicdn.com/kf/H579b2241ff4f4bbe9a3f46c1ef3532d9D.jpg,https://ae04.alicdn.com/kf/H95866db406b744be9ad75f75fd16c058L.jpg,https://ae04.alicdn.com/kf/Hc251a2e6e404464a809abbbc2bb1e70cJ.jpg,",https://www.aliexpress.com/item/1005003327078602.html,12.18,4.87,50.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_AqyBvf
