Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Genuine Leather,200129142,winter color autumn small European temperament and women and short jacket solid slim American suit autumn and winter slim solid,1005003337069677,https://ae01.alicdn.com/kf/H65ff46cbc8364f579f7318b395aeed91s/winter-color-autumn-small-European-temperament-and-women-and-short-jacket-solid-slim-American-suit-autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H65ff46cbc8364f579f7318b395aeed91s.jpg,https://ae04.alicdn.com/kf/Ha434b6b2b4ad433d976674da43df8784X.jpg,https://ae04.alicdn.com/kf/Hb1a619603a6543b6b298732e7017d5f23.jpg,https://ae04.alicdn.com/kf/Hc7386b38cdb24ec589445b1e0a0da0bcX.jpg,https://ae04.alicdn.com/kf/Hd7751b08fe3347a5ac8025ca75612683Z.jpg,",https://www.aliexpress.com/item/1005003337069677.html,37.55,19.15,9.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_ACtETR
Genuine Leather,200129142,DaJane Design high quality leather Jacket Real Leather Lapel Original Jacket Women Coat  Sheepskin  Leather brown Jacket,1005003192148366,https://ae01.alicdn.com/kf/Had98054f19db4c238dcf006488436c21B/DaJane-Design-high-quality-leather-Jacket-Real-Leather-Lapel-Original-Jacket-Women-Coat-Sheepskin-Leather-brown.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Had98054f19db4c238dcf006488436c21B.jpg,https://ae04.alicdn.com/kf/H1dff43ce412b466f88a8145211155125Q.jpg,https://ae04.alicdn.com/kf/H612551c3ff5f4533840e9362568b762eA.jpg,https://ae04.alicdn.com/kf/Ha3002022de384466adfb137fefa15164D.jpg,https://ae04.alicdn.com/kf/Hced2d31a91fb45fcb68363c4aafa1e4e0.jpg,",https://www.aliexpress.com/item/1005003192148366.html,350.00,192.50,9.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_AM7wp7
Genuine Leather,200129142,2021 Spring and Autumn Korean Style Young and Middle-Aged round Neck Long Sleeve Single-Breasted Solid Color Coat,1005003219476398,https://ae01.alicdn.com/kf/Hbab085c91c5e496ea248ab68d825f9c4e/2021-Spring-and-Autumn-Korean-Style-Young-and-Middle-Aged-round-Neck-Long-Sleeve-Single-Breasted.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbab085c91c5e496ea248ab68d825f9c4e.jpg,https://ae04.alicdn.com/kf/H09445a9551cf48f1a7cfa0c8e585be54d.jpg,https://ae04.alicdn.com/kf/H2b8ca83202814c898cc6b561126a9f02N.jpg,https://ae04.alicdn.com/kf/Hdf5e98ced4734e22983c85b6d42625111.jpg,https://ae04.alicdn.com/kf/H8ce0bb7f9b914e5c86b5dcb833ff772aK.jpg,",https://www.aliexpress.com/item/1005003219476398.html,106.00,53.00,13.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9uBjGl
Genuine Leather,200129142,2021 Woman Winter Jacket Genuine Sheepskin Lambskin Leather Overcoat Wool Cashmere Liner Female High Street Cloth XXXL 2XL 3XL,1005003249154088,https://ae01.alicdn.com/kf/H601fa299393745128f55fb280f47f3b0j/2021-Woman-Winter-Jacket-Genuine-Sheepskin-Lambskin-Leather-Overcoat-Wool-Cashmere-Liner-Female-High-Street-Cloth.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H601fa299393745128f55fb280f47f3b0j.jpg,https://ae04.alicdn.com/kf/Hcea2b50a669e45ccbd5b642d9fbd092af.jpg,https://ae04.alicdn.com/kf/H38c594c17c234ac49aa21b204b2c711aR.jpg,https://ae04.alicdn.com/kf/H83973eeeda9a4f62a57ac151446b3117u.jpg,https://ae04.alicdn.com/kf/H7d9afe81ecf747ddad65ae4ca0b362f7g.jpg,",https://www.aliexpress.com/item/1005003249154088.html,397.32,286.07,10.00%,2098-12-31,28%,https://s.click.aliexpress.com/e/_A5kkBB
Genuine Leather,200129142,New 2022 Women's Genuine Sheepskin Lambskin Natural Leather Motor Coat & Jacket for Female Lady Spring Autumn Clothing XXXXL 4XL,1005003243683218,https://ae01.alicdn.com/kf/H01bd84402b4141c19cfd9e9b797e2dc5h/New-2022-Women-s-Genuine-Sheepskin-Lambskin-Natural-Leather-Motor-Coat-Jacket-for-Female-Lady-Spring.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H01bd84402b4141c19cfd9e9b797e2dc5h.jpg,https://ae04.alicdn.com/kf/H2aa7a6a77ed64180885787a65cdcd566V.jpg,https://ae04.alicdn.com/kf/H91bb0b16fe054e5d897d1886fb8afb5eQ.jpg,https://ae04.alicdn.com/kf/H37816cecee8843c292f4c3385a402c51V.jpg,https://ae04.alicdn.com/kf/H38d4a28f07a145dbb6c7a72b2ae1ca67A.jpg,",https://www.aliexpress.com/item/1005003243683218.html,242.84,174.84,10.00%,2098-12-31,28%,https://s.click.aliexpress.com/e/_AgoSrR
Genuine Leather,200129142,Black Genuine Leather Sheepskin Leather Women Motorcycle Style European and American 2021 Autumn and Winter Fashion Jacket Coat,1005003317926340,https://ae01.alicdn.com/kf/Hc9ddabb857fc4a4f9a1526f83e70fbc5u/Black-Genuine-Leather-Sheepskin-Leather-Women-Motorcycle-Style-European-and-American-2021-Autumn-and-Winter-Fashion.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc9ddabb857fc4a4f9a1526f83e70fbc5u.jpg,https://ae04.alicdn.com/kf/H476feecc4bc6404d9137851b55bad9e9f.jpg,https://ae04.alicdn.com/kf/H1a3b788ed2cc4481b95d56288a7e41e9B.jpg,https://ae04.alicdn.com/kf/H230505c3a866461893bdc1a0540c1540P.jpg,https://ae04.alicdn.com/kf/H372741dde3c14f5d8d863352ab875dd7o.jpg,",https://www.aliexpress.com/item/1005003317926340.html,302.37,199.56,9.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_9z1POh
Genuine Leather,200129142,100% Real Sheepskin Coat Female Genuine Leather Jacket Short Slim Jackets For Women Outerwear Jaqueta De Couro 2021,1005003362583915,https://ae01.alicdn.com/kf/Ha267d1f3486f4b70b5421257b3e1d186N/100-Real-Sheepskin-Coat-Female-Genuine-Leather-Jacket-Short-Slim-Jackets-For-Women-Outerwear-Jaqueta-De.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha267d1f3486f4b70b5421257b3e1d186N.jpg,https://ae04.alicdn.com/kf/H0b5499630c294f789a7e1d953ea73ce6S.jpg,https://ae04.alicdn.com/kf/H812f95950e384829977adcf2b9a1e04cP.jpg,https://ae04.alicdn.com/kf/Hb1f2abb2f03d44f9a2c7da88752fc048r.jpg,https://ae04.alicdn.com/kf/H1d75af80482641239b6bd01fd5a1dba3O.jpg,",https://www.aliexpress.com/item/1005003362583915.html,155.89,77.94,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AKVHf7
Genuine Leather,200129142,MESHARE Women Spring Genuine Real Sheep Leather Jacket H41,4001055137236,https://ae01.alicdn.com/kf/H0ddfb129b6ac49f4b29722d4379ae201D/MESHARE-Women-Spring-Genuine-Real-Sheep-Leather-Jacket-H41.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0ddfb129b6ac49f4b29722d4379ae201D.jpg,https://ae04.alicdn.com/kf/H63e1cc40e30240e4af687b2bdc77717aU.jpg,https://ae04.alicdn.com/kf/H9f940626e4294b5892b34d2e709cdca27.jpg,https://ae04.alicdn.com/kf/Ha5b390de61bd4ad99a7e15fcdd3932fcb.jpg,https://ae04.alicdn.com/kf/H1b55ea7b00254c48bd01e3cefde235b38.jpg,",https://www.aliexpress.com/item/4001055137236.html,79.00,74.26,9.00%,2098-12-31,6%,https://s.click.aliexpress.com/e/_9g6piZ
Genuine Leather,200129142,MESHARE New Fashion Genuine Sheep Leather Jacket H47,4000387489118,https://ae01.alicdn.com/kf/H2ed5f47d177f418ab18eea69b144fcado/MESHARE-New-Fashion-Genuine-Sheep-Leather-Jacket-H47.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2ed5f47d177f418ab18eea69b144fcado.jpg,https://ae04.alicdn.com/kf/H61806c35e2ad4b1eaf83364fc6bfaa2bJ.jpg,https://ae04.alicdn.com/kf/Hdfab46463466443aa2507fe0500ff599s.jpg,https://ae04.alicdn.com/kf/H8ff352511fc043ddb020853c9576d523N.jpg,https://ae04.alicdn.com/kf/Hd10a67f9ba1b4201ba8568e25fc67d75e.jpg,",https://www.aliexpress.com/item/4000387489118.html,145.00,136.30,9.00%,2098-12-31,6%,https://s.click.aliexpress.com/e/_Aezb05
Genuine Leather,200129142,Mother Leather Coat Winter 2021 New Fashion Woman Overcoat Fur Collar Sheepskin Tops Jacket Thicken Warm Long Outerwear Female,1005003318002776,https://ae01.alicdn.com/kf/H9c277e72dd334ebf917b2d0a69597116Z/Mother-Leather-Coat-Winter-2021-New-Fashion-Woman-Overcoat-Fur-Collar-Sheepskin-Tops-Jacket-Thicken-Warm.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9c277e72dd334ebf917b2d0a69597116Z.jpg,https://ae04.alicdn.com/kf/H39babe5df0e64f15acfd72c7ec6743da5.jpg,https://ae04.alicdn.com/kf/H9179abe752cb4ec6beca99f09a7b30bcd.jpg,https://ae04.alicdn.com/kf/H8401f482bc5942fe90bc76201c1721dcy.jpg,https://ae04.alicdn.com/kf/Ha696929d29e5432aad213667ab75da52W.jpg,",https://www.aliexpress.com/item/1005003318002776.html,164.00,82.00,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ASbthn
