Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
High Tech Toys,200386159,SunFounder Raspberry Pi Car Robot Kit for the Raspberry Pi 4B and 3 model B+ 3B Electronic DIY Robot,4001161632624,https://ae01.alicdn.com/kf/H5bff071dbb934fa187d7cf17d5142243e/SunFounder-Raspberry-Pi-Car-Robot-Kit-for-the-Raspberry-Pi-4B-and-3-model-B-3B.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5bff071dbb934fa187d7cf17d5142243e.jpg,https://ae04.alicdn.com/kf/Ha676ede35bda458094528fda4cfc9d63Q.jpg,https://ae04.alicdn.com/kf/Hafd82068d6d04d888836b86f58bb74d5Z.jpg,https://ae04.alicdn.com/kf/H4ad0dcf8329a4e88a850a820a468b8a2e.jpg,https://ae04.alicdn.com/kf/Hd318be2a2e1043c5b3c358a7f620e8e73.jpg,",https://www.aliexpress.com/item/4001161632624.html,75.99,64.59,11.00%,2098-12-31,15%,https://s.click.aliexpress.com/e/_9fKmxD
High Tech Toys,200386159,Professional GTX1050TI 2GB DDR5 Gr Hics Card 128Bit HDMI-Compatible DVI VGA GPU Game Video Card For NVIDIA PC Gaming,1005002944582920,https://ae01.alicdn.com/kf/H0d90b3c1c72e401eae014a57dbda932dJ/Professional-GTX1050TI-2GB-DDR5-Gr-Hics-Card-128Bit-HDMI-Compatible-DVI-VGA-GPU-Game-Video-Card.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0d90b3c1c72e401eae014a57dbda932dJ.jpg,https://ae04.alicdn.com/kf/Hdeb530e7bbf64154a5c595c54b718936X.jpg,https://ae04.alicdn.com/kf/He03058002cf6494da5f98ea3fc83cad7T.jpg,https://ae04.alicdn.com/kf/H43e2b14eb2354a959bd5d831e24beb2f7.jpg,https://ae04.alicdn.com/kf/H7a409538eddb40a9bd6b3370bac550bdz.jpg,",https://www.aliexpress.com/item/1005002944582920.html,89.73,57.43,25.00%,2098-12-31,36%,https://s.click.aliexpress.com/e/_AkOVmb
High Tech Toys,200386159,"SunFounder 3+1 DOF Robot Arm Kit with Shovel Bucket, Hanging Clips, Electromagnet, Support Graphical Visual Programming, Python,",1005002701611530,https://ae01.alicdn.com/kf/H09f65e29f74b4e05892d8fd669ed1fe7L/SunFounder-3-1-DOF-Robot-Arm-Kit-with-Shovel-Bucket-Hanging-Clips-Electromagnet-Support-Graphical-Visual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H09f65e29f74b4e05892d8fd669ed1fe7L.jpg,https://ae04.alicdn.com/kf/H5777d774e6a34ad6a7fe52d391ebe4bbO.jpg,https://ae04.alicdn.com/kf/H9bb58463334c47d48280a765e26481c4z.jpg,https://ae04.alicdn.com/kf/H4ce9a0ea0b3f4a2a98cb40f3a814c656A.jpg,https://ae04.alicdn.com/kf/H89f2422d2f304c04b542b8320b36c4256.jpg,",https://www.aliexpress.com/item/1005002701611530.html,129.99,77.99,9.50%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9IFj0r
High Tech Toys,200386159,6 DOF Robotic Arm Gripper Claw Manipulator for Arduino/STM32/51 Microcontroller Teaching Robot Kit with 6pcs 180 Degree Servos,4000867603887,https://ae01.alicdn.com/kf/Hd33d92b8f7944cafbd0980ea2c352f85E/6-DOF-Robotic-Arm-Gripper-Claw-Manipulator-for-Arduino-STM32-51-Microcontroller-Teaching-Robot-Kit-with.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd33d92b8f7944cafbd0980ea2c352f85E.jpg,https://ae04.alicdn.com/kf/H272b917720954f218f7e24e0ba6e1abbb.jpg,https://ae04.alicdn.com/kf/H1b2a68f064a446209f33b7f3c984efebH.jpg,https://ae04.alicdn.com/kf/H6f445bec4dc34d7abf1f7079bf730ba4y.jpg,https://ae04.alicdn.com/kf/Hd45ab005cb044823b2a5d25ec76ed8051.jpg,",https://www.aliexpress.com/item/4000867603887.html,188.99,179.54,8.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_Ad8QYj
High Tech Toys,200386159,600g Load Multifunctional Flexible Claw Robot Mechanical Arm Servo Bracket Accessories Gripper Claw Game Diy,1005003327803866,https://ae01.alicdn.com/kf/H96db10e9369f40528a3d642c5f17bc43V/600g-Load-Multifunctional-Flexible-Claw-Robot-Mechanical-Arm-Servo-Bracket-Accessories-Gripper-Claw-Game-Diy.png_220x220.png,"https://ae04.alicdn.com/kf/H96db10e9369f40528a3d642c5f17bc43V.png,https://ae04.alicdn.com/kf/H9ced4c22c92342f99ff5558e894cac2f8.png,https://ae04.alicdn.com/kf/H7613ea68b1fa4a2c87b23d811359d64bl.jpg,https://ae04.alicdn.com/kf/H7556dffb2b6944fc823bf536f612e22cd.png,https://ae04.alicdn.com/kf/Hd3f0a11fa7104b3aae91bffad37b1122P.png,",https://www.aliexpress.com/item/1005003327803866.html,55.64,52.86,8.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_AtRgqP
High Tech Toys,200386159,Diy Electronic Kit Robot Vector Construction Set Education Artist Children Reality Toys Programmable Arduno Diy Experience,1005003369736474,https://ae01.alicdn.com/kf/H1621bb41e2ca417fb85332675d6471dau/Diy-Electronic-Kit-Robot-Vector-Construction-Set-Education-Artist-Children-Reality-Toys-Programmable-Arduno-Diy-Experience.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1621bb41e2ca417fb85332675d6471dau.jpg,https://ae04.alicdn.com/kf/H7b169131f19a4248ab56c68de77a4a76M.jpg,https://ae04.alicdn.com/kf/H6f6f5f5563ae477eb9ed11ff1ef1872dD.jpg,https://ae04.alicdn.com/kf/H5d777004c87641d5a4e76ad88035cdf1M.jpg,https://ae04.alicdn.com/kf/H443e8a6542e1468a8282772c7335f4bfJ.jpg,",https://www.aliexpress.com/item/1005003369736474.html,55.00,38.50,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A8yXD1
High Tech Toys,200386159,"For Arduino Graphical Programmable Scratch3.0, Mixly Modular Multifunctional Bluetooth Smart Car",1005003330126521,https://ae01.alicdn.com/kf/H609a0365c3284c1fa74553b799a8a205D/For-Arduino-Graphical-Programmable-Scratch3-0-Mixly-Modular-Multifunctional-Bluetooth-Smart-Car.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H609a0365c3284c1fa74553b799a8a205D.jpg,https://ae04.alicdn.com/kf/H3ba65d61952342959fa3df9c50142369j.jpg,https://ae04.alicdn.com/kf/H4895bc9d232e4b5497c587fee9dac149r.jpg,https://ae04.alicdn.com/kf/H3a2daeec28ff4b7483a376a6d61b08207.jpg,",https://www.aliexpress.com/item/1005003330126521.html,39.89,37.90,8.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_9ypMXp
High Tech Toys,200386159,SunFounder Raspberry Pi Smart Robot Car Kit PiCar-S Block Based Graphical Visual Programmable Electronic Toy with Detail Manual,32852672227,https://ae01.alicdn.com/kf/H59fa416671034d0da511d7233b561785h/SunFounder-Raspberry-Pi-Smart-Robot-Car-Kit-PiCar-S-Block-Based-Graphical-Visual-Programmable-Electronic-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H59fa416671034d0da511d7233b561785h.jpg,https://ae04.alicdn.com/kf/H9913ceb5167d448b80a847807af93c23D.jpg,https://ae04.alicdn.com/kf/H8a1ea9aaf2c54dd1ae1bb9f119a5af727.jpg,https://ae04.alicdn.com/kf/H8e09a3d6757a4e64a70b07eeca5689e28.jpg,https://ae04.alicdn.com/kf/H7462bd75bfcc4aa3ba4bd3da7521c629J.jpg,",https://www.aliexpress.com/item/32852672227.html,169.99,79.90,8.00%,2098-12-31,53%,https://s.click.aliexpress.com/e/_A2Um4x
High Tech Toys,200386159,Nano V3.1 Compatible with Arduino Nano V3.0 Arduino IDE Mini TypeB Nano Board LGT8F328P Nano 3.0 Controller,1005003387072120,https://ae01.alicdn.com/kf/Hdcf34e2de21243eca07cc25f60a0d90aE/Nano-V3-1-Compatible-with-Arduino-Nano-V3-0-Arduino-IDE-Mini-TypeB-Nano-Board-LGT8F328P.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdcf34e2de21243eca07cc25f60a0d90aE.jpg,https://ae04.alicdn.com/kf/H03031804a6cb416abd7f16401f2b5a1a6.jpg,https://ae04.alicdn.com/kf/Hb969223c7a0b4ca1aac6287fc4cae991s.jpg,https://ae04.alicdn.com/kf/H3cab54bec4174b9f8c45fb8d7367a7d7Q.jpg,https://ae04.alicdn.com/kf/H70a7589e9d3447cb8fa9c17f7957c9cbK.jpg,",https://www.aliexpress.com/item/1005003387072120.html,2.00,1.26,8.00%,2098-12-31,37%,https://s.click.aliexpress.com/e/_A9YUVH
High Tech Toys,200386159,Cute Cartoon Animal Shape Peekaboo Pop-Up Interactive Toy with Music Kids Gift,1005003325083436,https://ae01.alicdn.com/kf/H914b488ef6434fc6bd4ae6037020d7f2w/Cute-Cartoon-Animal-Shape-Peekaboo-Pop-Up-Interactive-Toy-with-Music-Kids-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H914b488ef6434fc6bd4ae6037020d7f2w.jpg,https://ae04.alicdn.com/kf/H391c9172731f4a3e9724042241741727R.jpg,https://ae04.alicdn.com/kf/H5206ee1ab2f84238a296d7d81433e2e7B.jpg,https://ae04.alicdn.com/kf/H1bada8bf9a5e419ca1ab3a484004cf24G.jpg,https://ae04.alicdn.com/kf/Hbcbc1ff6cab94dbf9c8e3cf5d2ef45b8A.jpg,",https://www.aliexpress.com/item/1005003325083436.html,22.17,6.65,8.00%,2098-12-31,70%,https://s.click.aliexpress.com/e/_9yxKdV
