Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Jewelry Packaging & Display,200001479,100pcs 9x14cm Clear Self Adhesive Seal Plastic Bags Transparent Resealable OPP Packing Poly Bags Pick Beads Hanging Holes,32863561685,https://ae01.alicdn.com/kf/HTB1oZqcmGmWBuNjy1Xaq6xCbXXab/100pcs-9x14cm-Clear-Self-Adhesive-Seal-Plastic-Bags-Transparent-Resealable-OPP-Packing-Poly-Bags-Pick-Beads.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1oZqcmGmWBuNjy1Xaq6xCbXXab.jpg,https://ae04.alicdn.com/kf/HTB1GgP5dpkoBKNjSZFkq6z4tFXaz.jpg,https://ae04.alicdn.com/kf/HTB14NEWmAKWBuNjy1zjq6AOypXa8.jpg,https://ae04.alicdn.com/kf/HTB1CMtwmFOWBuNjy0Fiq6xFxVXaw.jpg,",https://www.aliexpress.com/item/32863561685.html,2.23,1.78,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_A3qwg1
Jewelry Packaging & Display,200001479,HOT SALES！！！New Arrival Faux Leather Pendant Ring Display Box Bracelet Necklace Jewelry Storage Case Wholesale Dropshipping,1005001899456894,https://ae01.alicdn.com/kf/Hf9eada7e248049a29af7a337feda145am/HOT-SALES-New-Arrival-Faux-Leather-Pendant-Ring-Display-Box-Bracelet-Necklace-Jewelry-Storage-Case-Wholesale.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf9eada7e248049a29af7a337feda145am.jpg,https://ae04.alicdn.com/kf/H5975f3735eaa4b378cf9da350212489c7.jpg,https://ae04.alicdn.com/kf/Hb1bd69124ec343e5a3fe33825bb49a78f.jpg,https://ae04.alicdn.com/kf/H2cda937aa399443599d72596f02d6652u.jpg,https://ae04.alicdn.com/kf/Hbbb6b64951bf45d2b2542938c6b174fcg.jpg,",https://www.aliexpress.com/item/1005001899456894.html,1.13,0.75,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_AXZ8Ol
Jewelry Packaging & Display,200001479,100pcs 8x13cm Resealable Poly Bag Transparent Opp Bag Plastic Bags Self Adhesive Seal Jewellery Making Bag,32855342356,https://ae01.alicdn.com/kf/HTB1e70lbKySBuNjy1zdq6xPxFXan/100pcs-8x13cm-Resealable-Poly-Bag-Transparent-Opp-Bag-Plastic-Bags-Self-Adhesive-Seal-Jewellery-Making-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1e70lbKySBuNjy1zdq6xPxFXan.jpg,https://ae04.alicdn.com/kf/HTB1yGpabFuWBuNjSszbq6AS7FXaw.jpg,https://ae04.alicdn.com/kf/HTB1EYdpbHSYBuNjSspfq6AZCpXal.jpg,",https://www.aliexpress.com/item/32855342356.html,2.09,1.67,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_A0mEMZ
Jewelry Packaging & Display,200001479,Necklace Case Cylinder Wear-resistant Waterproof Cylinder Jewelry Holder for Home,1005003365113362,https://ae01.alicdn.com/kf/H37f6808d5d244446b46337ab93cf8c2eY/Necklace-Case-Cylinder-Wear-resistant-Waterproof-Cylinder-Jewelry-Holder-for-Home.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H37f6808d5d244446b46337ab93cf8c2eY.jpg,https://ae04.alicdn.com/kf/H5d64dde94054499e9b6c23b3f3828d9fZ.jpg,https://ae04.alicdn.com/kf/He9ba93ff78e64809913e655b9ec8d34aV.jpg,https://ae04.alicdn.com/kf/H68bde173f0fa4737a16829bb7bc297cdE.jpg,https://ae04.alicdn.com/kf/H2268b937e0304959965bf1e65495693bS.jpg,",https://www.aliexpress.com/item/1005003365113362.html,9.36,4.68,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9I2UPX
Jewelry Packaging & Display,200001479,100pcs 6x8cm Resealable Poly Bag Transparent Plastic Bags Self Adhesive Seal Jewellery Making Bag,32860888485,https://ae01.alicdn.com/kf/HTB11Zr4ldcnBKNjSZR0q6AFqFXa7/100pcs-6x8cm-Resealable-Poly-Bag-Transparent-Plastic-Bags-Self-Adhesive-Seal-Jewellery-Making-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB11Zr4ldcnBKNjSZR0q6AFqFXa7.jpg,https://ae04.alicdn.com/kf/HTB1I6Q6FXGWBuNjy0Fbq6z4sXXaC.jpg,https://ae04.alicdn.com/kf/HTB1k70wlpkoBKNjSZFkq6z4tFXaS.jpg,",https://www.aliexpress.com/item/32860888485.html,1.09,0.01,8.00%,2098-12-31,99%,https://s.click.aliexpress.com/e/_9HWXb3
Jewelry Packaging & Display,200001479,100pcs 8x11cm Resealable Poly Bag Transparent OPP Plastic Bags Self Adhesive Seal Jewellery Making Bag,32857906225,https://ae01.alicdn.com/kf/HTB1YPy1dQ9WBuNjSspeq6yz5VXad/100pcs-8x11cm-Resealable-Poly-Bag-Transparent-OPP-Plastic-Bags-Self-Adhesive-Seal-Jewellery-Making-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1YPy1dQ9WBuNjSspeq6yz5VXad.jpg,",https://www.aliexpress.com/item/32857906225.html,1.99,1.59,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AFvsAz
Jewelry Packaging & Display,200001479,100pcs 10x20cm Resealable Poly Bag Transparent Plastic Bags Self Adhesive Seal Jewellery Making Bag,32863099073,https://ae01.alicdn.com/kf/HTB10Atui25TBuNjSspmq6yDRVXas/100pcs-10x20cm-Resealable-Poly-Bag-Transparent-Plastic-Bags-Self-Adhesive-Seal-Jewellery-Making-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB10Atui25TBuNjSspmq6yDRVXas.jpg,https://ae04.alicdn.com/kf/HTB17vfpi_tYBeNjy1Xdq6xXyVXa7.jpg,",https://www.aliexpress.com/item/32863099073.html,4.29,3.43,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AWzARJ
Jewelry Packaging & Display,200001479,KPOP Bangtan Boys Humanoid Pendant Acrylic Keychain Key Ring K-POP JK V JIN  Fan Favorites New Korea Group Thank You Card,1005003369074890,https://ae01.alicdn.com/kf/He12559f80c0f4302b74dbd7c26b8c8ca1/KPOP-Bangtan-Boys-Humanoid-Pendant-Acrylic-Keychain-Key-Ring-K-POP-JK-V-JIN-Fan-Favorites.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He12559f80c0f4302b74dbd7c26b8c8ca1.jpg,https://ae04.alicdn.com/kf/H643f55055c874fecab92a91a068c9deff.jpg,https://ae04.alicdn.com/kf/H4809bc02a6ec48f1b7492804f06d2afaE.jpg,https://ae04.alicdn.com/kf/H0d43b04b47bd4424a79408752ddf453dX.jpg,https://ae04.alicdn.com/kf/Hcdea948bf7124e0398077484867ac633f.jpg,",https://www.aliexpress.com/item/1005003369074890.html,3.58,1.93,15.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_9zcFcH
Jewelry Packaging & Display,200001479,100pcs 6x9cm Resealable Poly Bag Transparent Opp Bag Plastic Bags Self Adhesive Seal Jewellery Making Bag,32853159200,https://ae01.alicdn.com/kf/HTB1QNvolj7nBKNjSZLeq6zxCFXaJ/100pcs-6x9cm-Resealable-Poly-Bag-Transparent-Opp-Bag-Plastic-Bags-Self-Adhesive-Seal-Jewellery-Making-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1QNvolj7nBKNjSZLeq6zxCFXaJ.jpg,https://ae04.alicdn.com/kf/HTB15dhNlBjTBKNjSZFwq6AG4XXat.jpg,https://ae04.alicdn.com/kf/HTB1xKIhFDtYBeNjy1Xdq6xXyVXao.jpg,https://ae04.alicdn.com/kf/HTB1kCdvFuuSBuNjSsplq6ze8pXaw.jpg,",https://www.aliexpress.com/item/32853159200.html,1.09,0.01,8.00%,2098-12-31,99%,https://s.click.aliexpress.com/e/_AKC15f
Jewelry Packaging & Display,200001479,32 Holes 6 Hooks Iron Jewelry Display Rack Earring Holder  Jewelry Display Stand  Ear Studs Stand Organizer Holder Display Showc,4000409769589,https://ae01.alicdn.com/kf/H273e7cc070d449ea990fcad836fffe65U/32-Holes-6-Hooks-Iron-Jewelry-Display-Rack-Earring-Holder-Jewelry-Display-Stand-Ear-Studs-Stand.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H273e7cc070d449ea990fcad836fffe65U.jpg,https://ae04.alicdn.com/kf/Hcc9e7705b3a14cc68d4609e8b207a658X.jpg,https://ae04.alicdn.com/kf/He5b0fc3e7c0a41d9950222df60c0d675U.jpg,https://ae04.alicdn.com/kf/Ha889a356fcd0425481ca0741350e7289e.jpg,https://ae04.alicdn.com/kf/Ha8ce8b1e7e50444a84483252edf12946K.jpg,",https://www.aliexpress.com/item/4000409769589.html,3.13,2.07,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_9x8oEl
