Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Leggings,200000865,Women Pink Leopard Print Leggings Girls Neon Sexy Fashion Brushed Buttery Soft Elastic Stretchy Skinny Fitness Workout Trousers,4000765393937,https://ae01.alicdn.com/kf/Hbed325332da444c4b08ba8ea18768244H/Women-Pink-Leopard-Print-Leggings-Girls-Neon-Sexy-Fashion-Brushed-Buttery-Soft-Elastic-Stretchy-Skinny-Fitness.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbed325332da444c4b08ba8ea18768244H.jpg,https://ae04.alicdn.com/kf/H4dd22710dfe94149ae312f221200628bX.jpg,https://ae04.alicdn.com/kf/H756c061e29ff407eb93d8b47802d206aW.jpg,https://ae04.alicdn.com/kf/H38b783d8af3e44ca9216f8afcaa149afp.jpg,https://ae04.alicdn.com/kf/H079a39b830f849bc8916a88551e172efj.jpg,",https://www.aliexpress.com/item/4000765393937.html,15.29,11.31,9.00%,2098-12-31,26%,https://s.click.aliexpress.com/e/_A1rjA1
Leggings,200000865,Fashion Leggings Sexy Casual Highly Elastic and Colorful Leg Warmer Fit Most Sizes Leggins Pants Trousers Woman's Leggings,1005003364428355,https://ae01.alicdn.com/kf/H2feb647be4bb4eb0991a9cc43632fec1w/Fashion-Leggings-Sexy-Casual-Highly-Elastic-and-Colorful-Leg-Warmer-Fit-Most-Sizes-Leggins-Pants-Trousers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2feb647be4bb4eb0991a9cc43632fec1w.jpg,https://ae04.alicdn.com/kf/H19f40b35515e4660a1d64c5b3ed5ca68b.jpg,https://ae04.alicdn.com/kf/H526f380b1c8f456b90215592dfd891dd6.jpg,https://ae04.alicdn.com/kf/H68368103604e4e59b72e212a323a827cj.jpg,https://ae04.alicdn.com/kf/Hc03712d4564f4858b2db930fe8337af4t.jpg,",https://www.aliexpress.com/item/1005003364428355.html,10.99,5.49,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9g6Zmp
Leggings,200000865,Warm Tights Tights Women Winter Tights Plus Size Seamless Leggings High Elastic Waist Warm Tights	Plus Velvet Thickening Tights,1005002028839206,https://ae01.alicdn.com/kf/H196fd22945a84a17801a85f2d4d6eb93M/Warm-Tights-Tights-Women-Winter-Tights-Plus-Size-Seamless-Leggings-High-Elastic-Waist-Warm-Tights-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H196fd22945a84a17801a85f2d4d6eb93M.jpg,https://ae04.alicdn.com/kf/H32a30e04b95240388fcbc0d589781764G.jpg,https://ae04.alicdn.com/kf/Hc4ffb062a06b48a189400b08daddf960L.jpg,https://ae04.alicdn.com/kf/H07d72ff720bf43efbbf02a74eb02c09dJ.jpg,https://ae04.alicdn.com/kf/H6514bc4ac758431580e66dfacd0995cbk.jpg,",https://www.aliexpress.com/item/1005002028839206.html,14.21,8.10,11.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_A3GYWd
Leggings,200000865,Exercise New Tights Yoga Pants Sports High Waist Sportswear Women Sports Leggings Tights Ladies Wearing Pants,1005003368731078,https://ae01.alicdn.com/kf/Hea54d7c8fcb249c6ad6acac6c52c54c3S/Exercise-New-Tights-Yoga-Pants-Sports-High-Waist-Sportswear-Women-Sports-Leggings-Tights-Ladies-Wearing-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hea54d7c8fcb249c6ad6acac6c52c54c3S.jpg,https://ae04.alicdn.com/kf/Hb91d0d58484842e98c8b84e524b19378A.jpg,https://ae04.alicdn.com/kf/H7656bf07d6ff4e7a9e5e709adb2f7688y.jpg,https://ae04.alicdn.com/kf/Hb96a8cfed2334218b092db614cc81820J.jpg,https://ae04.alicdn.com/kf/H60c97ff324f04ef0806ca15eb5d898e7u.jpg,",https://www.aliexpress.com/item/1005003368731078.html,13.84,9.55,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_AAuQIz
Leggings,200000865,New Tights Yoga Pants Tree Printing Tights High Waist Sportswear Women's Blue Fitness Shiny Sports Leggings Women,1005003365896722,https://ae01.alicdn.com/kf/H9292064c18f34d6facfb4c6bb93face0z/New-Tights-Yoga-Pants-Tree-Printing-Tights-High-Waist-Sportswear-Women-s-Blue-Fitness-Shiny-Sports.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9292064c18f34d6facfb4c6bb93face0z.jpg,https://ae04.alicdn.com/kf/Hca78cc4a54424e6f9c4caefbcf1e7efcV.jpg,https://ae04.alicdn.com/kf/Hb8b267ffb162464ca85654f3ac022657B.jpg,https://ae04.alicdn.com/kf/Hb0a551dd8c794506b12842f1d88c7261Z.jpg,https://ae04.alicdn.com/kf/H50ec6719f34b4414b378cf8e9ea44972O.jpg,",https://www.aliexpress.com/item/1005003365896722.html,16.55,11.42,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_A3E7Df
Leggings,200000865,Sexy Women Leggings Bubble Butt Push Up Fitness Legging Slim High Waist Leggins Mujer Seamless Fitness Legging,1005003364271368,https://ae01.alicdn.com/kf/H97e8851ea2eb4bdc87e7e6121e3abfc4r/Sexy-Women-Leggings-Bubble-Butt-Push-Up-Fitness-Legging-Slim-High-Waist-Leggins-Mujer-Seamless-Fitness.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H97e8851ea2eb4bdc87e7e6121e3abfc4r.jpg,https://ae04.alicdn.com/kf/Hc0a152c8f1544985bedc6fec00d1a8447.jpg,https://ae04.alicdn.com/kf/H7ed39136e80d4125bb1264c2a86da1b9I.jpg,https://ae04.alicdn.com/kf/Hdee2af31f0314991a73a26c8cbb0f337L.jpg,https://ae04.alicdn.com/kf/H1ef9b799a62447e883937ed788194cc9q.jpg,",https://www.aliexpress.com/item/1005003364271368.html,19.99,9.99,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AAnbKZ
Leggings,200000865,Winter Women's Warm Tights Pocket Leggings High Waist Skinny Thick Velvet Fleece Girl Trousers Large Size Elastic Female Pants,1005003367614134,https://ae01.alicdn.com/kf/H7bd6091cb7694348a83e19f9d0eed396N/Winter-Women-s-Warm-Tights-Pocket-Leggings-High-Waist-Skinny-Thick-Velvet-Fleece-Girl-Trousers-Large.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7bd6091cb7694348a83e19f9d0eed396N.jpg,https://ae04.alicdn.com/kf/H66633f4188604bf0a710e037d577b23aT.jpg,https://ae04.alicdn.com/kf/H10477c1737984b8c819144156c5c4fc2x.jpg,https://ae04.alicdn.com/kf/Hd5fc22386b834b3faf9902c2d7281565L.jpg,https://ae04.alicdn.com/kf/H88c584d539e540f0b75b3efb6f11fa54d.jpg,",https://www.aliexpress.com/item/1005003367614134.html,18.90,10.96,9.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_9z1Iut
Leggings,200000865,Fashion Women Yoga Pants Sports Leggings Tights High Waist Sportswear Sports Leggings Tight Pants,1005003368653578,https://ae01.alicdn.com/kf/Hba91ba98b0464168a9f410d38a9c77d5A/Fashion-Women-Yoga-Pants-Sports-Leggings-Tights-High-Waist-Sportswear-Sports-Leggings-Tight-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hba91ba98b0464168a9f410d38a9c77d5A.jpg,https://ae04.alicdn.com/kf/Hac725a9935d54f2bb4b4bdf0158623daY.jpg,https://ae04.alicdn.com/kf/Hd4a010b17ad24ad5a6f1a09ca79601dai.jpg,https://ae04.alicdn.com/kf/H06c8b7572e6a44a294823e442ea53d59R.jpg,https://ae04.alicdn.com/kf/Hf43b5e3c48104088a24dd925adbf0e89h.jpg,",https://www.aliexpress.com/item/1005003368653578.html,18.99,13.10,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_AKWnF3
Leggings,200000865,Sexy Women Leggings Booty Lifting Push Up Fitness Legging Slim High Waist Leggings Colorful Seamless Fitness Leggings,1005003368620812,https://ae01.alicdn.com/kf/Ha122690549604a3ea4a7ecaedd62bbcbh/Sexy-Women-Leggings-Booty-Lifting-Push-Up-Fitness-Legging-Slim-High-Waist-Leggings-Colorful-Seamless-Fitness.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha122690549604a3ea4a7ecaedd62bbcbh.jpg,https://ae04.alicdn.com/kf/H133eb169f6f14bc7a04fba3fa1175c6ax.jpg,https://ae04.alicdn.com/kf/Hea5fc61d5ef7479c8cab3ffe3156d63dz.jpg,https://ae04.alicdn.com/kf/H5331e8678406475c826f2bad3083eda7S.jpg,https://ae04.alicdn.com/kf/Hb312312ced49403aa096dc6a56fe636aQ.jpg,",https://www.aliexpress.com/item/1005003368620812.html,14.82,10.23,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_9JMnhP
Leggings,200000865,Plus Size Women Faux Leather Stretch Skinny Pants Leggings Elastic Comfortable Slim Fit Fashion Trousers Leggings,1005003368258694,https://ae01.alicdn.com/kf/H1f4cd5350d77485da15c16548d0abcd6E/Plus-Size-Women-Faux-Leather-Stretch-Skinny-Pants-Leggings-Elastic-Comfortable-Slim-Fit-Fashion-Trousers-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1f4cd5350d77485da15c16548d0abcd6E.jpg,https://ae04.alicdn.com/kf/Hc5cc02621fe344daa7ee8fd623897f64F.jpg,https://ae04.alicdn.com/kf/H5a43b71b2dcf4255af4532b33448e53dj.jpg,https://ae04.alicdn.com/kf/H2ff7c9d5a93946239d53ddffd2dce2fbo.jpg,https://ae04.alicdn.com/kf/H8f2d0de65f0f40bd91ebe569be505b1dy.jpg,",https://www.aliexpress.com/item/1005003368258694.html,3.32,1.69,9.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_A2O97L
