Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Muslim Fashion,201515701,Vestido Longo Red Winter Velvet Abaya Dubai Turkey Islam Moroc Arabic Muslim Hijab Dress For Women Robe Longue Femme Musulmane,1005003198856802,https://ae01.alicdn.com/kf/H44c2655af8d74e7d9dcad766c85c8c3b5/Vestido-Longo-Red-Winter-Velvet-Abaya-Dubai-Turkey-Islam-Moroc-Arabic-Muslim-Hijab-Dress-For-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H44c2655af8d74e7d9dcad766c85c8c3b5.jpg,https://ae04.alicdn.com/kf/Hda579ee473774ca2875f199d9df56862I.jpg,https://ae04.alicdn.com/kf/H3d22661f3dd34a04bd74134816d98b8an.jpg,https://ae04.alicdn.com/kf/H8bd37778bf9e49bca25bcc2ad35af69dz.jpg,",https://www.aliexpress.com/item/1005003198856802.html,59.98,29.99,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A6xC57
Muslim Fashion,201515701,Plus Size Abaya Dubai Muslim Dress Turkey Robe Longue Femme Musulmane Islamic Clothing African Dresses For Women Caftan Marocain,1005003110527660,https://ae01.alicdn.com/kf/Hbcaa70aab7b94d9f86ca0e9071011453V/Plus-Size-Abaya-Dubai-Muslim-Dress-Turkey-Robe-Longue-Femme-Musulmane-Islamic-Clothing-African-Dresses-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbcaa70aab7b94d9f86ca0e9071011453V.jpg,https://ae04.alicdn.com/kf/Haa52476bcbc84c94a0801e5ba67a533ct.jpg,https://ae04.alicdn.com/kf/H2b7d2bb900924cf69c3493515c511c71L.jpg,https://ae04.alicdn.com/kf/H693b389c150f4e2aa7b9dbabbf8a3c7cH.jpg,https://ae04.alicdn.com/kf/H6e7baff358b84f7d956f049b71ccaf4c7.jpg,",https://www.aliexpress.com/item/1005003110527660.html,65.98,32.99,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9wnxjL
Muslim Fashion,201515701,Dubai Free Size Abaya Embroidery Long Dress Arab High Grade Comfortable Fabric Women Muslim Kaftan Turkish Moroccan GownHD055,1005002863006127,https://ae01.alicdn.com/kf/H19991d8e0128403b90eb0bcc440b48ach/Dubai-Free-Size-Abaya-Embroidery-Long-Dress-Arab-High-Grade-Comfortable-Fabric-Women-Muslim-Kaftan-Turkish.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H19991d8e0128403b90eb0bcc440b48ach.jpg,https://ae04.alicdn.com/kf/H9650739f3ca24f5a87261adbce32aa4e1.jpg,https://ae04.alicdn.com/kf/H9826e6529b0c4e7c87cda6151ae754820.jpg,https://ae04.alicdn.com/kf/Ha2f4470460794cfabe57af8fc493c2ee0.jpg,https://ae04.alicdn.com/kf/Ha61a19bf51014ac58935ba96d2cad58c6.jpg,",https://www.aliexpress.com/item/1005002863006127.html,43.36,22.11,9.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_Aa5Uw5
Muslim Fashion,201515701,Vestidos Plus Size Abaya Dubai Turkey Islam Moroc Arabic Pakistani Muslim Hijab Long Dress For Women Robe Longue Femme Musulmane,1005003199235708,https://ae01.alicdn.com/kf/Hcf010257513843518bd02cb8b2502a28V/Vestidos-Plus-Size-Abaya-Dubai-Turkey-Islam-Moroc-Arabic-Pakistani-Muslim-Hijab-Long-Dress-For-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcf010257513843518bd02cb8b2502a28V.jpg,https://ae04.alicdn.com/kf/H330bc398cdd9448eb3734e280da4a7f2i.jpg,https://ae04.alicdn.com/kf/Hab48689d3c1d41bd8a53385e9db0f899z.jpg,https://ae04.alicdn.com/kf/H6a89229651f0484caab7aeceb4d886dfO.jpg,",https://www.aliexpress.com/item/1005003199235708.html,49.98,24.99,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AnIgch
Muslim Fashion,201515701,Kaftan Abaya Kimono Hijab Muslim Fashion Cardigan Dress Caftan Maroc Maxi Dresses Islam Clothing Abayas For Women Robe Femme,4000556911200,https://ae01.alicdn.com/kf/Ha77486d6967c4cd7bccfa5396d1a5d93b/Kaftan-Abaya-Kimono-Hijab-Muslim-Fashion-Cardigan-Dress-Caftan-Maroc-Maxi-Dresses-Islam-Clothing-Abayas-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha77486d6967c4cd7bccfa5396d1a5d93b.jpg,https://ae04.alicdn.com/kf/Hd7b2f656159740ab9a4cd4b956d5f345p.jpg,https://ae04.alicdn.com/kf/Hb824dcbabb37410db87d0aa548853de9r.jpg,https://ae04.alicdn.com/kf/Hf89d572864c84f8f87d3f6d75f04b976u.jpg,https://ae04.alicdn.com/kf/H832579284ff940d0a8605f9772d56fafJ.jpg,",https://www.aliexpress.com/item/4000556911200.html,67.98,33.99,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A5mnU5
Muslim Fashion,201515701,Ramadan Eid Fashion  Satin Dress Dubai Abaya Women Summer Long Flare Sleeve Hijab Dresses Muslim Islam Turkey Clothes Bronze,1005002315827525,https://ae01.alicdn.com/kf/H5e05b0a19b054adf87ac04273c3abf27r/Ramadan-Eid-Fashion-Satin-Dress-Dubai-Abaya-Women-Summer-Long-Flare-Sleeve-Hijab-Dresses-Muslim-Islam.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5e05b0a19b054adf87ac04273c3abf27r.jpg,https://ae04.alicdn.com/kf/H327bca6288974284a640405f3ebd8b1eC.jpg,https://ae04.alicdn.com/kf/Hae4165f82f514e1085686581120e727c9.jpg,https://ae04.alicdn.com/kf/Hac525652928e47c3bd1fb12047b0f98fu.jpg,https://ae04.alicdn.com/kf/Hfd91a376b68c41bcb6c3a9bc6a7888d9T.jpg,",https://www.aliexpress.com/item/1005002315827525.html,49.85,27.92,9.00%,2098-12-31,44%,https://s.click.aliexpress.com/e/_AZ0RpR
Muslim Fashion,201515701,Vestidos Largos Abaya Dubai Turkey Kaftan Linen Maxi Muslim Shawl Hijab Long Dress Abayas For Women Turkish Islamic Clothing,32903554677,https://ae01.alicdn.com/kf/HTB1ES25HkyWBuNjy0Fpq6yssXXaP/Vestidos-Largos-Abaya-Dubai-Turkey-Kaftan-Linen-Maxi-Muslim-Shawl-Hijab-Long-Dress-Abayas-For-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1ES25HkyWBuNjy0Fpq6yssXXaP.jpg,https://ae04.alicdn.com/kf/HTB15qW6HhSYBuNjSsphq6zGvVXay.jpg,https://ae04.alicdn.com/kf/HTB15nhZai6guuRjy0Fmq6y0DXXaG.jpg,https://ae04.alicdn.com/kf/HTB11BvyHeGSBuNjSspbq6AiipXas.jpg,https://ae04.alicdn.com/kf/HTB1ySZfHf9TBuNjy1zbq6xpepXaM.jpg,",https://www.aliexpress.com/item/32903554677.html,59.99,29.99,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9RZXNR
Muslim Fashion,201515701,Vestido Longo Plus Size Velvet Abaya Dubai Turkey Islam Moroc Arabic Muslim Hijab Dress For Women Robe Longue Femme Musulmane,1005003198927461,https://ae01.alicdn.com/kf/H8da2e514d67242309b9d5eadb6a55720d/Vestido-Longo-Plus-Size-Velvet-Abaya-Dubai-Turkey-Islam-Moroc-Arabic-Muslim-Hijab-Dress-For-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8da2e514d67242309b9d5eadb6a55720d.jpg,https://ae04.alicdn.com/kf/Hd84356e8de324f3cac572487f9e75818F.jpg,https://ae04.alicdn.com/kf/H032162bc6321492392b03908b62b0716u.jpg,https://ae04.alicdn.com/kf/H21305c17a35b4b81b60be0be05778b83c.jpg,https://ae04.alicdn.com/kf/He5dbdf49cae547f19e932673c4285a23a.jpg,",https://www.aliexpress.com/item/1005003198927461.html,59.98,29.99,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AM9zAv
Muslim Fashion,201515701,Abayas For Women Kaftan Underwear Cotton Long Islam Muslim Fashion Hijab Dress Abaya Dubai Jilbab Elbise Turkish Islam Clothing,32928369124,https://ae01.alicdn.com/kf/HTB1HSKZXjDuK1RjSszdq6xGLpXaF/Abayas-For-Women-Kaftan-Underwear-Cotton-Long-Islam-Muslim-Fashion-Hijab-Dress-Abaya-Dubai-Jilbab-Elbise.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1HSKZXjDuK1RjSszdq6xGLpXaF.jpg,https://ae04.alicdn.com/kf/HTB17ju0XcrrK1Rjy1zeq6xalFXaq.jpg,https://ae04.alicdn.com/kf/HTB1_IoGXEvrK1RjSszfq6xJNVXaw.jpg,https://ae04.alicdn.com/kf/HTB1Lx.HXsvrK1Rjy0Feq6ATmVXa5.jpg,https://ae04.alicdn.com/kf/HTB1xqAGXyYrK1Rjy0Fdq6ACvVXav.jpg,",https://www.aliexpress.com/item/32928369124.html,55.00,24.75,9.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_98ajmZ
Muslim Fashion,201515701,Eid Mubarak Muslim Fashion Abaya Dubai Long Dress Turkey Islam Clothing Robe Longue Femme Dresses For Women Vestido De Mujer,1005002207923038,https://ae01.alicdn.com/kf/Hb7184f78abc74974b78c6bc87d66af1dl/Eid-Mubarak-Muslim-Fashion-Abaya-Dubai-Long-Dress-Turkey-Islam-Clothing-Robe-Longue-Femme-Dresses-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb7184f78abc74974b78c6bc87d66af1dl.jpg,https://ae04.alicdn.com/kf/He063e5b9575642a8a004b5731159b5ff0.jpg,https://ae04.alicdn.com/kf/Hcb604db88788483fa425e2403e76f2abA.jpg,https://ae04.alicdn.com/kf/H0ad9a61e61cc471f8074f7cf3978c2e58.jpg,https://ae04.alicdn.com/kf/H9f67fb3894dd4ec99b95b7ae1495c158L.jpg,",https://www.aliexpress.com/item/1005002207923038.html,69.98,34.99,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9iCM5T
