Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Nail Art & Tools,200001147,Nail Art Amber Vintage Buttons Shell Leopard Leather Mixed Three-dimensional DIY Nail Decoration Alloy Jewelry Nail Accessories,1005003201494232,https://ae01.alicdn.com/kf/He25b67e84632466b86cab53a9cf0a6bdU/Nail-Art-Amber-Vintage-Buttons-Shell-Leopard-Leather-Mixed-Three-dimensional-DIY-Nail-Decoration-Alloy-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He25b67e84632466b86cab53a9cf0a6bdU.jpg,https://ae04.alicdn.com/kf/H806124f8be0b4804b1af8ae61791472dn.jpg,https://ae04.alicdn.com/kf/H094de048e4344650b955e5cf2e7401fet.jpg,https://ae04.alicdn.com/kf/H1e8e15a527d24006b08063b5fe4b8c128.jpg,https://ae04.alicdn.com/kf/H3d80fd64e3fc4014b99586c351277670I.jpg,",https://www.aliexpress.com/item/1005003201494232.html,3.93,1.81,10.00%,2098-12-31,54%,https://s.click.aliexpress.com/e/_Ak0Y7p
Nail Art & Tools,200001147,50G/bag of Nail Art Stone Jewelry DIY Electroplated Crystal Glass Irregular Crushed Stone Japanese Nail Art Decoration,1005002421618075,https://ae01.alicdn.com/kf/H905167a9950741169b12847e894a3c6eY/50G-bag-of-Nail-Art-Stone-Jewelry-DIY-Electroplated-Crystal-Glass-Irregular-Crushed-Stone-Japanese-Nail.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H905167a9950741169b12847e894a3c6eY.jpg,https://ae04.alicdn.com/kf/Hfb96486b52aa49bfa8ed23ec6d0d0a19z.jpg,https://ae04.alicdn.com/kf/Hda5fef0e2ce64894a6ba763c979d5984a.jpg,https://ae04.alicdn.com/kf/Had2a7a52263044139c992d06a8679264d.jpg,https://ae04.alicdn.com/kf/Hacfffe346b0a4212b690931f7deffef1H.jpg,",https://www.aliexpress.com/item/1005002421618075.html,5.61,3.93,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AKbjj9
Nail Art & Tools,200001147,7PCS/Set Nail Drill Bits Tungsten Steel Cutters for Manicure Cuticle Burr Milling Cutter for Pedicure Nails Accessories Tools,1005003269958250,https://ae01.alicdn.com/kf/H7e55c758266245239b68892640b7196fH/7PCS-Set-Nail-Drill-Bits-Tungsten-Steel-Cutters-for-Manicure-Cuticle-Burr-Milling-Cutter-for-Pedicure.jpeg_220x220.jpeg,"https://ae04.alicdn.com/kf/H7e55c758266245239b68892640b7196fH.jpeg,https://ae04.alicdn.com/kf/Hc61cfee0c0c6456eaf8a7f1d9d8ded0d1.jpeg,https://ae04.alicdn.com/kf/H5ce0375e59a74fdf91fd136347178fa1r.jpeg,https://ae04.alicdn.com/kf/H6b83307e67924dce95c94bdeebc061469.jpeg,https://ae04.alicdn.com/kf/He7af3b46c8194b08ba6f815a03d04a3at.jpeg,",https://www.aliexpress.com/item/1005003269958250.html,3.96,1.98,15.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AWvbPH
Nail Art & Tools,200001147,PD-31 Crystal Cherry Fake Nail Patch Wearing Nail Patch Finished Nail Patch Patch 24 Pieces Nail Patch,1005003108688324,https://ae01.alicdn.com/kf/He846c52a9feb4aa291ff999f8795417aV/PD-31-Crystal-Cherry-Fake-Nail-Patch-Wearing-Nail-Patch-Finished-Nail-Patch-Patch-24-Pieces.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He846c52a9feb4aa291ff999f8795417aV.jpg,https://ae04.alicdn.com/kf/Hd71265fd30d24c18a2ccad0cb858f30au.jpg,https://ae04.alicdn.com/kf/H0a4d818e738e4b318f4ab9e7ed3d9ad1Z.jpg,https://ae04.alicdn.com/kf/Hcc0564ab7c8f4472add1a85a0a9e32f5p.jpg,https://ae04.alicdn.com/kf/Ha83b6ef89f9145d4af95c8637e4a0bc4H.jpg,",https://www.aliexpress.com/item/1005003108688324.html,3.99,1.84,10.00%,2098-12-31,54%,https://s.click.aliexpress.com/e/_AdfcCb
Nail Art & Tools,200001147,1pcs Nail Art Magnet Stick Cat Eye Effect Powerful Magnet Nail Tool Which Can Be Used To Polish The Nails with UV Gel for Cats,1005002560732193,https://ae01.alicdn.com/kf/He45a885d29074e48a4a07ed439a5ea82n/1pcs-Nail-Art-Magnet-Stick-Cat-Eye-Effect-Powerful-Magnet-Nail-Tool-Which-Can-Be-Used.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He45a885d29074e48a4a07ed439a5ea82n.jpg,https://ae04.alicdn.com/kf/Hb80caf2a815a4d9cb27d73f20ae13f0ej.jpg,https://ae04.alicdn.com/kf/H8d6a1d89fdb744689ce470e6cf6f6b39y.jpg,https://ae04.alicdn.com/kf/He00e60d048474648839ebbb764bbc1caF.jpg,https://ae04.alicdn.com/kf/Hdeb83045eaf741abaa38b7d74426a2d8q.jpg,",https://www.aliexpress.com/item/1005002560732193.html,2.26,1.58,10.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A32noP
Nail Art & Tools,200001147,Clear Jelly Silicone Nail Stamping Double Sided Nail Art Templates Plate Scraper With Cap Art Stamper Scraper Makeup Tool,1005003227746210,https://ae01.alicdn.com/kf/H58c4394579ef4bf090deddd490455646U/Clear-Jelly-Silicone-Nail-Stamping-Double-Sided-Nail-Art-Templates-Plate-Scraper-With-Cap-Art-Stamper.jpeg_220x220.jpeg,"https://ae04.alicdn.com/kf/H58c4394579ef4bf090deddd490455646U.jpeg,https://ae04.alicdn.com/kf/H8cbbca97d65e4033aeb32bb2f162c6009.jpeg,https://ae04.alicdn.com/kf/He1309051122a463bab27d9de8f8aadb9M.jpeg,https://ae04.alicdn.com/kf/H76e2bdbde22b4e76b6692cf7f2f30b93Z.jpeg,https://ae04.alicdn.com/kf/Hb2f4d090a31848d88bb3b2793db20371z.jpeg,",https://www.aliexpress.com/item/1005003227746210.html,2.02,1.01,15.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9H1v1p
Nail Art & Tools,200001147,Nail Printing Tools Double-headed Silicone Seal Acrylic Color Diamond Template Seal Set Conversion Pen Nail Print Template Set,1005001930774673,https://ae01.alicdn.com/kf/H8475e30bee0944068f8329fd2aa06614P/Nail-Printing-Tools-Double-headed-Silicone-Seal-Acrylic-Color-Diamond-Template-Seal-Set-Conversion-Pen-Nail.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8475e30bee0944068f8329fd2aa06614P.jpg,https://ae04.alicdn.com/kf/H485347126c5042e8b9bba16db6508321Q.jpg,https://ae04.alicdn.com/kf/H784246ee63e14475acdaf3ed40f3cf05R.jpg,https://ae04.alicdn.com/kf/H2c7c4ec3d1c048279869e0f95b8ddb9eJ.jpg,https://ae04.alicdn.com/kf/H59c2f447b48b4ec8845ac2d8cd7767917.jpg,",https://www.aliexpress.com/item/1005001930774673.html,4.66,3.26,11.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A2WpiF
Nail Art & Tools,200001147,2021 New Craft 5D Nail Art Sticker Ultra-thin Relief Cat Dog Ice Cream Adhesive Nail Art Stickers Manicure DIY Easy Apply Tips,1005003250244348,https://ae01.alicdn.com/kf/H40541ae4d93c492e9fdd3b7be41c112aM/2021-New-Craft-5D-Nail-Art-Sticker-Ultra-thin-Relief-Cat-Dog-Ice-Cream-Adhesive-Nail.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H40541ae4d93c492e9fdd3b7be41c112aM.jpg,https://ae04.alicdn.com/kf/Hcb69321af14f438caf09b2de3b6202dcx.jpg,https://ae04.alicdn.com/kf/Haa0caf8128b845de9019bf5fc78423b3Q.jpg,https://ae04.alicdn.com/kf/H2144d5806e024411adb572a4b9ed876by.jpg,https://ae04.alicdn.com/kf/H3833f62b3cb44c468a433c8025ccac3eS.jpg,",https://www.aliexpress.com/item/1005003250244348.html,5.52,2.54,10.00%,2098-12-31,54%,https://s.click.aliexpress.com/e/_A96Ydd
Nail Art & Tools,200001147,1box Black Color Nail Gems Fashion Shell Nail Stone Irregular Abalone Sequined Nail Decoration DIY Japanese Nail Art Design,4000856031158,https://ae01.alicdn.com/kf/Hcd1af0a816ed4600b4ddd2b10e25a1bas/1box-Black-Color-Nail-Gems-Fashion-Shell-Nail-Stone-Irregular-Abalone-Sequined-Nail-Decoration-DIY-Japanese.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcd1af0a816ed4600b4ddd2b10e25a1bas.jpg,https://ae04.alicdn.com/kf/H9201da37a1da4853afca1f1fdd9387e9W.jpg,https://ae04.alicdn.com/kf/H3424802399324c97a8490f3a9a2c7cf9c.jpg,https://ae04.alicdn.com/kf/Ha2031b77de47489ba168fbf6bb3be3a9t.jpg,https://ae04.alicdn.com/kf/Hb33240d2e78d4470967a9d516bb155eaq.jpg,",https://www.aliexpress.com/item/4000856031158.html,2.90,1.74,10.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9yzNSj
Nail Art & Tools,200001147,Spring Summer Flower Nail Decoration Wood Pulp Paper Mini Daisy Simulation Flower Butterfly Fashion DIY Nail Art Design Charm,1005002330890805,https://ae01.alicdn.com/kf/Hd8cb2180a7e94162af901372e1fcb9c3E/Spring-Summer-Flower-Nail-Decoration-Wood-Pulp-Paper-Mini-Daisy-Simulation-Flower-Butterfly-Fashion-DIY-Nail.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd8cb2180a7e94162af901372e1fcb9c3E.jpg,https://ae04.alicdn.com/kf/Hbb31ed87db0d4e35a4e6aaf9819fe21fJ.jpg,https://ae04.alicdn.com/kf/He71e06a442d840b0aaf2b4860d095dd8S.jpg,https://ae04.alicdn.com/kf/H0d4c2bb312bd48aa8f19088d8b98f625k.jpg,https://ae04.alicdn.com/kf/H86d6e29cd1974d45ad5cbf285e5cca4dW.jpg,",https://www.aliexpress.com/item/1005002330890805.html,0.97,0.68,10.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A0jKsx
