Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Pants & Capris,200000366,DOUJILI Fashion Women Pants Solid Brown Long Width Pants Wide Leg Trousers Strethy Waist Office Ladies Trousers,1005003365979048,https://ae01.alicdn.com/kf/Hf42f919029fd4ca9a12aa62c1f2d378b1/DOUJILI-Fashion-Women-Pants-Solid-Brown-Long-Width-Pants-Wide-Leg-Trousers-Strethy-Waist-Office-Ladies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf42f919029fd4ca9a12aa62c1f2d378b1.jpg,https://ae04.alicdn.com/kf/Ha10e85f3464d43928bd377ad160ae812n.jpg,https://ae04.alicdn.com/kf/H08d3a38ffd3a4155a3be0bb7c15fd17fb.jpg,https://ae04.alicdn.com/kf/He195dbff11f24a299874e3216bdfe3a43.jpg,https://ae04.alicdn.com/kf/H23da2f76810a491fa6654f3eb507b1cbU.jpg,",https://www.aliexpress.com/item/1005003365979048.html,22.54,14.65,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9GsPA1
Pants & Capris,200000366,Sister Fara 2021 Spring Autumn PU Leather Trousers Women's High Waist Loose Harem Pants Female Straight PU Casual Jogging Pants,1005003364888133,https://ae01.alicdn.com/kf/H80827711637249d9a876e94a237962159/Sister-Fara-2021-Spring-Autumn-PU-Leather-Trousers-Women-s-High-Waist-Loose-Harem-Pants-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H80827711637249d9a876e94a237962159.jpg,https://ae04.alicdn.com/kf/H7b926f98cb6445a982a641b87f841bb8U.jpg,https://ae04.alicdn.com/kf/H43f3aa54533f404b9252cd13c098e20ea.jpg,https://ae04.alicdn.com/kf/H0e02baa1b5ee4be7aa924d34c20a819fF.jpg,https://ae04.alicdn.com/kf/Hbc94964b0ca34c70b92d3bdd4ed932c8W.jpg,",https://www.aliexpress.com/item/1005003364888133.html,37.61,26.33,15.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_ApMHRL
Pants & Capris,200000366,High-waisted Pants Capris Women Waist Sweatpants Wide-legged Sports Woman Clothes Drawstring Leg Women's Clothing 2021 Drape,1005003368511437,https://ae01.alicdn.com/kf/H5f8d99e36d31469990038167c74672fe1/High-waisted-Pants-Capris-Women-Waist-Sweatpants-Wide-legged-Sports-Woman-Clothes-Drawstring-Leg-Women-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5f8d99e36d31469990038167c74672fe1.jpg,https://ae04.alicdn.com/kf/H633bd9878fda4e1abb8a6f409b538667x.jpg,https://ae04.alicdn.com/kf/Hd35360f9847949f6b30f8ba723cfc780R.jpg,https://ae04.alicdn.com/kf/Hbd7fc5b65b91427fa6ba04eb0fc4f8f3H.jpg,https://ae04.alicdn.com/kf/Ha31195d1608544899d69bbad6b183272i.jpg,",https://www.aliexpress.com/item/1005003368511437.html,40.54,22.30,9.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_98wx8z
Pants & Capris,200000366,Fashion Skinny High Waist Slimming Leggings PU Leather Pants Sexy Ladies Pants Streetwear Women Women Bottoms Pants  Hot Pants,1005003358331168,https://ae01.alicdn.com/kf/H2576ee7098bc4fd08f2ee741101422adl/Fashion-Skinny-High-Waist-Slimming-Leggings-PU-Leather-Pants-Sexy-Ladies-Pants-Streetwear-Women-Women-Bottoms.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2576ee7098bc4fd08f2ee741101422adl.jpg,https://ae04.alicdn.com/kf/H13293c12c2c34b68baffc22c095c6947b.jpg,https://ae04.alicdn.com/kf/Hf338f3e409ce443eaecae910645d75ff1.jpg,https://ae04.alicdn.com/kf/H5b5eb1022d7242f79c3c05572c6d5e4aI.jpg,https://ae04.alicdn.com/kf/H8feee18248e44ae5b3002fa7ba375c5bB.jpg,",https://www.aliexpress.com/item/1005003358331168.html,26.89,13.71,10.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_9wOCHL
Pants & Capris,200000366,Summer Women's Boho Stretch Flared Wide Pants Legs Bell Bottom Trousers Ladies Slim Printed Long Pants High Waist Fashion Pants,1005003368704321,https://ae01.alicdn.com/kf/H3fe1781f0bbc4729b3a291df443a9d4eP/Summer-Women-s-Boho-Stretch-Flared-Wide-Pants-Legs-Bell-Bottom-Trousers-Ladies-Slim-Printed-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3fe1781f0bbc4729b3a291df443a9d4eP.jpg,https://ae04.alicdn.com/kf/Hab98f21a2e744a53acafca3bfa44bbf1x.jpg,https://ae04.alicdn.com/kf/H5f32e66bcd6040c6b2469390f9e8afe58.jpg,https://ae04.alicdn.com/kf/H880a910bc4a1473db6a026d2d79369681.jpg,https://ae04.alicdn.com/kf/H515fb9080e1f4cf3a385fc1aa48c1a9dr.jpg,",https://www.aliexpress.com/item/1005003368704321.html,4.69,2.53,20.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_A7HojR
Pants & Capris,200000366,Streetwear High Waist Black Pants Harajuku Gothic Moon Print Bandage Sweatpants Women Punk Grunge Sport Harem Pants,1005003369020485,https://ae01.alicdn.com/kf/Ha228c3f1d1364a3d964ea1a0a755156ef/Streetwear-High-Waist-Black-Pants-Harajuku-Gothic-Moon-Print-Bandage-Sweatpants-Women-Punk-Grunge-Sport-Harem.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha228c3f1d1364a3d964ea1a0a755156ef.jpg,https://ae04.alicdn.com/kf/Hcfecc4d81c8d4209854c579e8a978335Z.jpg,https://ae04.alicdn.com/kf/Hd641acb95a5b45eb9c011703a054c850D.jpg,https://ae04.alicdn.com/kf/H9ea6c46d87ee4871a14f42ad15fdef56R.jpg,https://ae04.alicdn.com/kf/H5e7c88144e88487ca09a9b37c9d60786a.jpg,",https://www.aliexpress.com/item/1005003369020485.html,25.70,16.96,9.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_ACZtdn
Pants & Capris,200000366,Summer Thin Denim Wide Leg Pants Women High waist Slim Straight Ankle-Length Pants Casual Vintage Split Jeans Pants New Arrival,1005002689625308,https://ae01.alicdn.com/kf/Hdf90ab430b99454c8836b5c1ff161d0dg/Summer-Thin-Denim-Wide-Leg-Pants-Women-High-waist-Slim-Straight-Ankle-Length-Pants-Casual-Vintage.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdf90ab430b99454c8836b5c1ff161d0dg.jpg,https://ae04.alicdn.com/kf/H19b564c023f14ca1a619cb1c8aecbb89z.jpg,https://ae04.alicdn.com/kf/Hecda8ba299704df8b9f73d15e6192082a.jpg,https://ae04.alicdn.com/kf/H35213d298fea4a3988c3f3ca19ba3913u.jpg,https://ae04.alicdn.com/kf/Hfe2e1c873d8e498baa6a3126172b207ff.jpg,",https://www.aliexpress.com/item/1005002689625308.html,23.96,14.14,9.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_AMyEgv
Pants & Capris,200000366,White Hole Denim Pants Women's Spring Autumn Casual Loose Jeans Harem Pants Vintage Ankle-Length Pants High waist Straight Pants,1005002689459713,https://ae01.alicdn.com/kf/H869ac22fc39f43b4a25c85a7408a382ey/White-Hole-Denim-Pants-Women-s-Spring-Autumn-Casual-Loose-Jeans-Harem-Pants-Vintage-Ankle-Length.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H869ac22fc39f43b4a25c85a7408a382ey.jpg,https://ae04.alicdn.com/kf/H670193cc7dc14ebfafe23a62e3a32404C.jpg,https://ae04.alicdn.com/kf/H1198e3e769a440769d45133f51078099E.jpg,https://ae04.alicdn.com/kf/H6c5e2d7710f7420ca466e7a502d302fdj.jpg,https://ae04.alicdn.com/kf/H8b21784382ea4db2bef72e53ba096e11D.jpg,",https://www.aliexpress.com/item/1005002689459713.html,23.96,14.14,9.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_A6P5vr
Pants & Capris,200000366,Sister Fara Spring Autumn High Waist Suit Pants Women Drawstring Solid Harem Pants Ladies Straight Casual Ankle-Length Trousers,1005003364965023,https://ae01.alicdn.com/kf/Hcdcde0d30e9e4ff9a792b062c4666908e/Sister-Fara-Spring-Autumn-High-Waist-Suit-Pants-Women-Drawstring-Solid-Harem-Pants-Ladies-Straight-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcdcde0d30e9e4ff9a792b062c4666908e.jpg,https://ae04.alicdn.com/kf/H3ffe02454c11482193737e6b796f50b3g.jpg,https://ae04.alicdn.com/kf/H658799a3794a406bba3c8d55717c73d8j.jpg,https://ae04.alicdn.com/kf/H0ae6d06a53934abe8241c4f847b0118bh.jpg,https://ae04.alicdn.com/kf/Hc0064d939eb24b7c97c5f77cda926dbeQ.jpg,",https://www.aliexpress.com/item/1005003364965023.html,29.33,20.53,15.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AaTfy5
Pants & Capris,200000366,White Denim Pants Women High waist 2021 Spring Autumn Straight Radish Daddy Beige Women Jeans Pants Slim Denim Harem Pants New,1005002676104526,https://ae01.alicdn.com/kf/He69eb0b03de146879707f837e510d7e52/White-Denim-Pants-Women-High-waist-2021-Spring-Autumn-Straight-Radish-Daddy-Beige-Women-Jeans-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He69eb0b03de146879707f837e510d7e52.jpg,https://ae04.alicdn.com/kf/H4049fe6611764923bfbd7cc51a757f56Z.jpg,https://ae04.alicdn.com/kf/H9b23869ffbe7407790a513baa01a8bcaY.jpg,https://ae04.alicdn.com/kf/H625bb39df99d490c98916be2bdaa7f73J.jpg,https://ae04.alicdn.com/kf/Hcd86fd99b2fb40da837269c43c15cf16G.jpg,",https://www.aliexpress.com/item/1005002676104526.html,21.96,12.96,9.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_AqI1ZR
