Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Parkas,200001908,MOLAN Casual Women Cotton Padded Thick Parkas 2021 Winter Fashion Ladies Pockets Stand Collar Coats Female Chic Warm Outwear,1005003322318862,https://ae01.alicdn.com/kf/H82edbe84206e4fb18dbc26eefd303e7db/MOLAN-Casual-Women-Cotton-Padded-Thick-Parkas-2021-Winter-Fashion-Ladies-Pockets-Stand-Collar-Coats-Female.png_220x220.png,"https://ae04.alicdn.com/kf/H82edbe84206e4fb18dbc26eefd303e7db.png,https://ae04.alicdn.com/kf/H8acaa3316c7f429eac13e12f3ab57e91m.jpg,https://ae04.alicdn.com/kf/Hc4a6a7374d3c45c28fa43dbe6b5400834.png,https://ae04.alicdn.com/kf/H579e48ab66b5426cb55f3f645f7c9124Q.png,https://ae04.alicdn.com/kf/Hb3f57999b6fc46d3b47bf4a4a3e5a603E.png,",https://www.aliexpress.com/item/1005003322318862.html,50.90,30.54,10.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A0oNpP
Parkas,200001908,Loose Patchwork Zipper Thick Mid-Length Women's Cotton Padded Jacket Warmth Comfortable Versatile Fashionable Plus Size Winter,1005003329532408,https://ae01.alicdn.com/kf/H4653215366944840b6d3e8de6d8035c2w/Loose-Patchwork-Zipper-Thick-Mid-Length-Women-s-Cotton-Padded-Jacket-Warmth-Comfortable-Versatile-Fashionable-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4653215366944840b6d3e8de6d8035c2w.jpg,https://ae04.alicdn.com/kf/H7e354b21f27649a08e43919de98f7540v.jpg,https://ae04.alicdn.com/kf/H31eeda8a96164ceca02e1876bd2e7d80V.jpg,https://ae04.alicdn.com/kf/H3beda6675b6f4712974da76b4d11d67fl.jpg,https://ae04.alicdn.com/kf/H38a0a18edc9a48e1aada0d355d58c477s.jpg,",https://www.aliexpress.com/item/1005003329532408.html,117.72,50.62,15.00%,2098-12-31,57%,https://s.click.aliexpress.com/e/_9fT2fn
Parkas,200001908,MOLAN Woman Autumn Jacket Long Sleeve Big Pockets Coveres Button Warm Jacket Female Clothes Chic Streetwear Coat Top,1005003210106075,https://ae01.alicdn.com/kf/H6b2c9b7630594a46a6a15877feea029cA/MOLAN-Woman-Autumn-Jacket-Long-Sleeve-Big-Pockets-Coveres-Button-Warm-Jacket-Female-Clothes-Chic-Streetwear.png_220x220.png,"https://ae04.alicdn.com/kf/H6b2c9b7630594a46a6a15877feea029cA.png,https://ae04.alicdn.com/kf/H2cf3a74bf316453da9afe1f9230e261fZ.png,https://ae04.alicdn.com/kf/Hcd797d5ee13842248d8f61f184b5c5c2B.png,https://ae04.alicdn.com/kf/H4148e5d76ee84973959dcb1825cb7c5b7.png,https://ae04.alicdn.com/kf/H25febdbf8f214da6a579d8f7ea29a533C.png,",https://www.aliexpress.com/item/1005003210106075.html,48.90,29.34,50.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AKEGEV
Parkas,200001908,MOLAN Woman Warm Overcoat Za Padded Jacket Loose Fashion With Hooded Zipper Solid Europen Style Female Chic Autumn Jacket Coat,1005002960735351,https://ae01.alicdn.com/kf/H47fb41623bcd4eb7a5b2be7fa00d9941o/MOLAN-Woman-Warm-Overcoat-Za-Padded-Jacket-Loose-Fashion-With-Hooded-Zipper-Solid-Europen-Style-Female.png_220x220.png,"https://ae04.alicdn.com/kf/H47fb41623bcd4eb7a5b2be7fa00d9941o.png,https://ae04.alicdn.com/kf/Ha5c9985534a849a7ae85ac8ee91181cax.jpg,https://ae04.alicdn.com/kf/Hc242ada657854add831524437152ea85N.jpg,https://ae04.alicdn.com/kf/H647d4dab89d84f0e9b9fe44d09e1f15fE.jpg,https://ae04.alicdn.com/kf/H574e144f69ad451d8d17a1ef1302967fL.png,",https://www.aliexpress.com/item/1005002960735351.html,83.10,49.86,50.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A2b469
Parkas,200001908,MOLAN Chic Plaid Jacket Coat Long Sleeve Big Pockets Top Turn Down Collar Female Chic Outwear Coat Singal Breasted Warm Jacket,1005003267561157,https://ae01.alicdn.com/kf/H93eed834c6b44e839c0a53f0d8fc46b6f/MOLAN-Chic-Plaid-Jacket-Coat-Long-Sleeve-Big-Pockets-Top-Turn-Down-Collar-Female-Chic-Outwear.png_220x220.png,"https://ae04.alicdn.com/kf/H93eed834c6b44e839c0a53f0d8fc46b6f.png,https://ae04.alicdn.com/kf/Hdce41afeb96845258a6ba2e0e8cedebb7.jpg,https://ae04.alicdn.com/kf/Hbe5711f1d0674edd9d5558f7cd1a02d2P.png,https://ae04.alicdn.com/kf/H7688c70562c74c0d8fa76a7311544326w.png,https://ae04.alicdn.com/kf/H8767245b9bdc47a7b593864e0cfe9c8fC.png,",https://www.aliexpress.com/item/1005003267561157.html,50.90,30.54,10.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9AJ52v
Parkas,200001908,Winter Woman Jacket Warm Loose Large Fashion Stand Collar Zipper Solid High Street Europen Style Female Chic Coat,1005003062623251,https://ae01.alicdn.com/kf/H6f6358abe4b04852beeacad67039d8633/Winter-Woman-Jacket-Warm-Loose-Large-Fashion-Stand-Collar-Zipper-Solid-High-Street-Europen-Style-Female.png_220x220.png,"https://ae04.alicdn.com/kf/H6f6358abe4b04852beeacad67039d8633.png,https://ae04.alicdn.com/kf/H76e42c67e850478fb8cbff4d836e72deu.jpg,https://ae04.alicdn.com/kf/H96d54386531347f8a5d5c53630e453e0x.jpg,https://ae04.alicdn.com/kf/H3687575e23e3425bbdc31a9ccfef028cS.jpg,https://ae04.alicdn.com/kf/Hc7fa90d160ea4462b1dde42609a49befr.jpg,",https://www.aliexpress.com/item/1005003062623251.html,61.70,37.02,50.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9yK0Lr
Parkas,200001908,MOLAN Winter Vintage Purple Padded Jacket Long Sleeve Fashion Chic Singal Breasted Female Retro Clothes Warm Outwear Coat Top,1005003302053064,https://ae01.alicdn.com/kf/H0671e16e6dde4403aaee819fbed32050M/MOLAN-Winter-Vintage-Purple-Padded-Jacket-Long-Sleeve-Fashion-Chic-Singal-Breasted-Female-Retro-Clothes-Warm.png_220x220.png,"https://ae04.alicdn.com/kf/H0671e16e6dde4403aaee819fbed32050M.png,https://ae04.alicdn.com/kf/Hf7536f0e878045eda5b7cd2792bd4bb04.jpg,https://ae04.alicdn.com/kf/Haefc3236354b4ebb93bbc9d4623062a5L.jpg,https://ae04.alicdn.com/kf/H418903e42867485d8caf0fe7044d4348d.jpg,https://ae04.alicdn.com/kf/H0ec6676a3cb249f0aec0b3394cabf25bH.jpg,",https://www.aliexpress.com/item/1005003302053064.html,49.90,29.94,10.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A7diUZ
Parkas,200001908,MOLAN Woman Winter Warm Padded Coat Beige Za Fashion Hoddies Loose High Street Parks Jacket Female Chic Plaid  Outwear Overcoat,1005003160027846,https://ae01.alicdn.com/kf/He3fb6a0adaae46a9a3028343d9df9fdeT/MOLAN-Woman-Winter-Warm-Padded-Coat-Beige-Za-Fashion-Hoddies-Loose-High-Street-Parks-Jacket-Female.png_220x220.png,"https://ae04.alicdn.com/kf/He3fb6a0adaae46a9a3028343d9df9fdeT.png,https://ae04.alicdn.com/kf/H43ca347770f54185838c0d966175d628Y.jpg,https://ae04.alicdn.com/kf/H8351d8679a514e31b6223f389a16793cA.jpg,https://ae04.alicdn.com/kf/H168375614f364c5ca1e7d37f855c312aO.jpg,https://ae04.alicdn.com/kf/He5856f40845143dca5940f2714838002n.jpg,",https://www.aliexpress.com/item/1005003160027846.html,58.90,58.90,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Ao7tgd
Parkas,200001908,MOLAN Women Fashion Padded Jacket Coat Singal Breasted Stand Collar Big Pockets Black Top Female Chic Streetwear Autumn Jacket,1005003210117829,https://ae01.alicdn.com/kf/Hc9df34aa58f144d9b5f649f82f0ba9f9F/MOLAN-Women-Fashion-Padded-Jacket-Coat-Singal-Breasted-Stand-Collar-Big-Pockets-Black-Top-Female-Chic.png_220x220.png,"https://ae04.alicdn.com/kf/Hc9df34aa58f144d9b5f649f82f0ba9f9F.png,https://ae04.alicdn.com/kf/He67142bcd15046c187b39a644b28be22z.jpg,https://ae04.alicdn.com/kf/Hae5225e92646415291cde75d6878f510b.jpg,https://ae04.alicdn.com/kf/Hbeef4d76b58e4fbcbb19a071c6f0b6f5D.jpg,https://ae04.alicdn.com/kf/H3d4840cafce94ce488454dc61ada729f1.jpg,",https://www.aliexpress.com/item/1005003210117829.html,44.40,26.64,10.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A7fgaz
Parkas,200001908,MOLAN Fashioin Print Padded Coat Woman Winter Oversized Daisy Print Thin Jacket Overcoat Long Sleeve Female Chic Outwear Top,1005003354763105,https://ae01.alicdn.com/kf/Hb149d984f97f46a8a389e946273b4a9bg/MOLAN-Fashioin-Print-Padded-Coat-Woman-Winter-Oversized-Daisy-Print-Thin-Jacket-Overcoat-Long-Sleeve-Female.png_220x220.png,"https://ae04.alicdn.com/kf/Hb149d984f97f46a8a389e946273b4a9bg.png,https://ae04.alicdn.com/kf/Hb0f46533eaba4472b1eb9756db8cec88N.jpg,https://ae04.alicdn.com/kf/H62c6e24425b149fab90edf1d2978475bX.png,https://ae04.alicdn.com/kf/H2e9b6fb8c086492684209be658ae0fe1B.png,https://ae04.alicdn.com/kf/H4b71366fc3ed41268910e9bc6a0362ccc.png,",https://www.aliexpress.com/item/1005003354763105.html,39.40,24.03,10.00%,2098-12-31,39%,https://s.click.aliexpress.com/e/_9xcV09
Parkas,200001908,MOLAN Woman Winter Jacket Padded Coat 2021 New European Style Fashion Zipper Long Sleeve Warm Overcoat Female Chic Outwear Top,1005003344203073,https://ae01.alicdn.com/kf/H66c838fbdaf54fcda575a67a384a086dP/MOLAN-Woman-Winter-Jacket-Padded-Coat-2021-New-European-Style-Fashion-Zipper-Long-Sleeve-Warm-Overcoat.png_220x220.png,"https://ae04.alicdn.com/kf/H66c838fbdaf54fcda575a67a384a086dP.png,https://ae04.alicdn.com/kf/He1246f110e9c4d91be3d6aa1eb2cffcd7.png,https://ae04.alicdn.com/kf/Hbf85349c6aa1431387f083d1ac59cfceT.png,https://ae04.alicdn.com/kf/Hf5f8b4512ade4fe79ebca53a16413170Z.png,https://ae04.alicdn.com/kf/H091cc9e35e3340158b3fe12bed82ffd4O.png,",https://www.aliexpress.com/item/1005003344203073.html,56.70,34.02,50.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_Aprrmt
Parkas,200001908,MOLAN Woman Autumn Jacket 2021 New Fashion Khaki Green Double-Pocket Warm Shirt-Style Casual Loose Solid Coat Top Female Outwear,1005002468478260,https://ae01.alicdn.com/kf/H540d7ee69e7f4cc383f0533d82763ea6C/MOLAN-Woman-Autumn-Jacket-2021-New-Fashion-Khaki-Green-Double-Pocket-Warm-Shirt-Style-Casual-Loose.png_220x220.png,"https://ae04.alicdn.com/kf/H540d7ee69e7f4cc383f0533d82763ea6C.png,https://ae04.alicdn.com/kf/H80ef442ca05b49aa94cc78e900438aa03.jpg,https://ae04.alicdn.com/kf/H114a2a49e34649e6acbcc08e28814678W.jpg,https://ae04.alicdn.com/kf/Hc1e813c06308430ea90762efe92214cdx.jpg,",https://www.aliexpress.com/item/1005002468478260.html,56.90,34.14,50.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9Gyytj
Parkas,200001908,Winter Cotton Padded Oversized Coat Solid Color Smooth Surface Stand Collar Retractable Sleeves Jacket for Women,1005003368111720,https://ae01.alicdn.com/kf/H20011ae6cf7d450aa2d23bec223016477/Winter-Cotton-Padded-Oversized-Coat-Solid-Color-Smooth-Surface-Stand-Collar-Retractable-Sleeves-Jacket-for-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H20011ae6cf7d450aa2d23bec223016477.jpg,https://ae04.alicdn.com/kf/Ha029b486ef07444ab0c6ce81e674ba2aN.jpg,https://ae04.alicdn.com/kf/H5138b8d8b85a4d07bf00ca04883e5f68z.jpg,https://ae04.alicdn.com/kf/H2dedba76552b4c9498aec80963ca83ffR.jpg,https://ae04.alicdn.com/kf/H5ca0e6365ed14606addc162a84eaeb34y.jpg,",https://www.aliexpress.com/item/1005003368111720.html,97.45,19.49,9.00%,2098-12-31,80%,https://s.click.aliexpress.com/e/_9G2QxP
