Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Sweaters,200000373,Turtleneck Sweater Women Fashion 2021 Autumn Winter Black Tops Women Knitted Pullovers Long Sleeve Jumper Pull Femme Clothing,32717749095,https://ae01.alicdn.com/kf/HTB1RYcOkf5TBuNjSspcq6znGFXaB/Turtleneck-Sweater-Women-Fashion-2021-Autumn-Winter-Black-Tops-Women-Knitted-Pullovers-Long-Sleeve-Jumper-Pull.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1RYcOkf5TBuNjSspcq6znGFXaB.jpg,https://ae04.alicdn.com/kf/HTB1i4axQFXXXXbLXXXXq6xXFXXXb.jpg,https://ae04.alicdn.com/kf/HTB1SC5mMVXXXXc_aXXXq6xXFXXXR.jpg,https://ae04.alicdn.com/kf/HTB1pMaHMVXXXXaoXVXXq6xXFXXXL.jpg,https://ae04.alicdn.com/kf/HTB1bPiKMVXXXXcQXFXXq6xXFXXX4.jpg,",https://www.aliexpress.com/item/32717749095.html,21.99,9.90,9.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_9J2CUt
Sweaters,200000373,AOSSVIAO Vintage Thicken Striped Women Sweaters Autumn Winter Turtleneck Pullovers Jumpers Female Korean Knitted Tops femme 2021,4001147402969,https://ae01.alicdn.com/kf/Hb987b554f95447cca2e71ca75ae7e0edP/AOSSVIAO-Vintage-Thicken-Striped-Women-Sweaters-Autumn-Winter-Turtleneck-Pullovers-Jumpers-Female-Korean-Knitted-Tops-femme.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb987b554f95447cca2e71ca75ae7e0edP.jpg,https://ae04.alicdn.com/kf/He99b7079d50748028ac9906f2d431fe8k.jpg,https://ae04.alicdn.com/kf/H99964d37dc234741955e7b57074bc9e7p.jpg,https://ae04.alicdn.com/kf/Hb8459d948db840fa93dedd4e1e30f6ebK.jpg,https://ae04.alicdn.com/kf/H174a5b499a4a47a4bf55ab36ca3115f85.jpg,",https://www.aliexpress.com/item/4001147402969.html,29.99,17.99,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A4qOH3
Sweaters,200000373,Vintage Plaid Turtleneck Sweater Women Autumn Winter Contrast Color Elegant Pullover Sweaters Knitted Jumpers golf sweter,4000209810738,https://ae01.alicdn.com/kf/He70cc3f5f027479ab30c921c2ec69a7b2/Vintage-Plaid-Turtleneck-Sweater-Women-Autumn-Winter-Contrast-Color-Elegant-Pullover-Sweaters-Knitted-Jumpers-golf-sweter.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He70cc3f5f027479ab30c921c2ec69a7b2.jpg,https://ae04.alicdn.com/kf/H4e4e1f1d9a444b0f8d7f572c28989aabf.jpg,https://ae04.alicdn.com/kf/H20ad309f8ed94925a2e846a846400ee7L.jpg,https://ae04.alicdn.com/kf/H512d26916e1f40d1ab30f7e01e80ee95k.jpg,https://ae04.alicdn.com/kf/Hdba51a9b9e9b4c03baf0c640ee993a06l.jpg,",https://www.aliexpress.com/item/4000209810738.html,35.00,24.50,9.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9g01RF
Sweaters,200000373,2021 Autumn Winter Women Pullovers Sweater Knitted Korean Elasticity Casual Jumper Fashion Slim Turtleneck Warm Female Sweaters,32918364820,https://ae01.alicdn.com/kf/HTB1.HhIKAOWBuNjSsppq6xPgpXa3/2021-Autumn-Winter-Women-Pullovers-Sweater-Knitted-Korean-Elasticity-Casual-Jumper-Fashion-Slim-Turtleneck-Warm-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1.HhIKAOWBuNjSsppq6xPgpXa3.jpg,https://ae04.alicdn.com/kf/HTB1MEEUB3KTBuNkSne1q6yJoXXa3.jpg,https://ae04.alicdn.com/kf/H5693c76bb78142029223e3651e17e16ab.jpg,https://ae04.alicdn.com/kf/HTB1jrF3B5CYBuNkHFCcq6AHtVXaj.jpg,https://ae04.alicdn.com/kf/Hf2f09eabcd0540fc837f58429bb59bb2M.jpg,",https://www.aliexpress.com/item/32918364820.html,21.99,9.90,11.50%,2098-12-31,55%,https://s.click.aliexpress.com/e/_AlUu2d
Sweaters,200000373,Hot Pink Small rabbit Embroidery Sweater Vest JK High School Student Girls Uniform Japanese Style  V-Neck Knit Vest Pullover,1005001466658410,https://ae01.alicdn.com/kf/H8dd108f1739d41568ac6e9db056d9ce2a/Hot-Pink-Small-rabbit-Embroidery-Sweater-Vest-JK-High-School-Student-Girls-Uniform-Japanese-Style-V.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8dd108f1739d41568ac6e9db056d9ce2a.jpg,",https://www.aliexpress.com/item/1005001466658410.html,22.21,15.32,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_ALCdK1
Sweaters,200000373,Women's Vest Knitted Sweaters Mujer Solid Jumpers Femme Oversize Knitwears Pullover Knit Tops Female BF Loose V neck Sleeveless,1005001992685383,https://ae01.alicdn.com/kf/H0ab2dbf7a7414dd3a1fad688200b3db5F/Women-s-Vest-Knitted-Sweaters-Mujer-Solid-Jumpers-Femme-Oversize-Knitwears-Pullover-Knit-Tops-Female-BF.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0ab2dbf7a7414dd3a1fad688200b3db5F.jpg,https://ae04.alicdn.com/kf/H004d6e47769745acbe4cc8884a49afaaG.jpg,https://ae04.alicdn.com/kf/H8f751e9678b64960b63b1bad8cea1e95x.jpg,https://ae04.alicdn.com/kf/H9b59b718e03b4467a9c715c2eec76a22A.jpg,https://ae04.alicdn.com/kf/H6c8d1ed1ff7f41eeaf4a7bbf88fdc1032.jpg,",https://www.aliexpress.com/item/1005001992685383.html,37.98,18.99,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AX35Y5
Sweaters,200000373,Szkzk Black And White Striped Knit Sweater Button Women Pullover Female Jumper Fall Winter Long Sleeve Turtleneck Sexy Sweaters,1005001360287191,https://ae01.alicdn.com/kf/H885db7d1c6144ecc9da6a86b412a3b1cq/Szkzk-Black-And-White-Striped-Knit-Sweater-Button-Women-Pullover-Female-Jumper-Fall-Winter-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H885db7d1c6144ecc9da6a86b412a3b1cq.jpg,https://ae04.alicdn.com/kf/H4d6e5321ffe54c05b061fdf39bad74230.jpg,https://ae04.alicdn.com/kf/H1a3c3984e7ba47bfbb288ccbdff034a4h.jpg,https://ae04.alicdn.com/kf/H5fc916daf52f4566a8a5a241edd59e8fR.jpg,https://ae04.alicdn.com/kf/Hdf23901a438c4394b1f91656b3c8593aP.jpg,",https://www.aliexpress.com/item/1005001360287191.html,26.96,20.76,10.00%,2098-12-31,23%,https://s.click.aliexpress.com/e/_9zrf73
Sweaters,200000373,New Sexy 2020 Knitted Sweater Off Shoulder Pullovers Sweater for Women Long Sleeve Turtleneck Female Jumper Black White Clothing,1005001388113592,https://ae01.alicdn.com/kf/Hb94dd21de29c421d9ed652d41a74873ck/New-Sexy-2020-Knitted-Sweater-Off-Shoulder-Pullovers-Sweater-for-Women-Long-Sleeve-Turtleneck-Female-Jumper.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb94dd21de29c421d9ed652d41a74873ck.jpg,https://ae04.alicdn.com/kf/H62b43264be7d41b6b6f0bb3c17e71dbcy.jpg,https://ae04.alicdn.com/kf/Ha0bc8ac08db1424cbfad705d0d33a1a3B.jpg,https://ae04.alicdn.com/kf/He5a3dd05ce694244bea448cadfe5bf31h.jpg,",https://www.aliexpress.com/item/1005001388113592.html,23.79,14.27,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AKMByl
Sweaters,200000373,sweater women pullover slim o-neck warm sweaters knitted korean jumper fashion women clothes pull femme poleras sueter 2021,32913349442,https://ae01.alicdn.com/kf/HTB1yoobXJzvK1RkSnfoq6zMwVXar/sweater-women-pullover-slim-o-neck-warm-sweaters-knitted-korean-jumper-fashion-women-clothes-pull-femme.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1yoobXJzvK1RkSnfoq6zMwVXar.jpg,https://ae04.alicdn.com/kf/HTB1Xm7bXLfsK1RjSszgq6yXzpXaW.jpg,https://ae04.alicdn.com/kf/HTB15l_.XIfrK1Rjy0Fmq6xhEXXaB.jpg,https://ae04.alicdn.com/kf/HTB15JldpkvoK1RjSZFNq6AxMVXa8.jpg,https://ae04.alicdn.com/kf/HTB1yVwcXJfvK1RjSspfq6zzXFXaE.jpg,",https://www.aliexpress.com/item/32913349442.html,13.90,9.03,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AXz3eZ
Sweaters,200000373,2021 Button Sweater Women Basic Slim Knitted Pullover Women Sweaters Pullovers Jumper Autumn Winter Korean Style Women Sweater,4000052852692,https://ae01.alicdn.com/kf/H68d12f487e9a4a9da94f963f0e8dd3c1b/2021-Button-Sweater-Women-Basic-Slim-Knitted-Pullover-Women-Sweaters-Pullovers-Jumper-Autumn-Winter-Korean-Style.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H68d12f487e9a4a9da94f963f0e8dd3c1b.jpg,https://ae04.alicdn.com/kf/H0821b7f89ec4417a938803d4035d0649w.jpg,https://ae04.alicdn.com/kf/Hde63b64a7df14692be910ac5766144d4w.jpg,https://ae04.alicdn.com/kf/H6a63395b5a22436ebf9cda3ed2ba208bX.jpg,https://ae04.alicdn.com/kf/H497112130dde4a9abd5595dc528eaf0d0.jpg,",https://www.aliexpress.com/item/4000052852692.html,15.80,9.48,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9Qb9DX
