Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Swimwears,200001918,Rivertrip Bandeau Women's Suit Swimsuits 2022 High Waist Underwear Female Set Ribbed Swimwear Beach Wear Summer Casual Bikinis,1005003367962164,https://ae01.alicdn.com/kf/H71697117c30a40f7ad1dd2f53121f841s/Rivertrip-Bandeau-Women-s-Suit-Swimsuits-2022-High-Waist-Underwear-Female-Set-Ribbed-Swimwear-Beach-Wear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H71697117c30a40f7ad1dd2f53121f841s.jpg,https://ae04.alicdn.com/kf/Hf2c302f27a784371bf00fd071c7c67ec5.jpg,https://ae04.alicdn.com/kf/Ha7a32a2ebb5b42dbada5ec9a0b7639412.jpg,https://ae04.alicdn.com/kf/H107d5366fcba4c7dbe990e36d2f92405k.jpg,",https://www.aliexpress.com/item/1005003367962164.html,25.01,12.50,15.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A19eKV
Swimwears,200001918,Rivertrip Floral Print Women's Bikinis 2022 Stripe Swimsuits Beachwear Bath Suits High Waist Swimwear Biquinis Ruffle Plage Wear,1005003368047787,https://ae01.alicdn.com/kf/Hf1c08ad1a860432ca70a3b58bf284b7bB/Rivertrip-Floral-Print-Women-s-Bikinis-2022-Stripe-Swimsuits-Beachwear-Bath-Suits-High-Waist-Swimwear-Biquinis.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf1c08ad1a860432ca70a3b58bf284b7bB.jpg,https://ae04.alicdn.com/kf/H145a1d8d949346fca4af22bbfaa490dac.jpg,https://ae04.alicdn.com/kf/H7416c6091313437daeb0c41eaf176319B.jpg,",https://www.aliexpress.com/item/1005003368047787.html,26.25,13.12,15.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9JBSRn
Swimwears,200001918,Riseado Push Up Sexy Bikinis Women High Waist Beach Swimsuit Striped Swimwear Ruffle Biquini Female Set Knotted Bathing Suit New,1005003368810343,https://ae01.alicdn.com/kf/H5501341093e545ce880cd1080ab0ad8ed/Riseado-Push-Up-Sexy-Bikinis-Women-High-Waist-Beach-Swimsuit-Striped-Swimwear-Ruffle-Biquini-Female-Set.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5501341093e545ce880cd1080ab0ad8ed.jpg,https://ae04.alicdn.com/kf/H320baeaa4352477fa2d0a69da1adddafq.jpg,https://ae04.alicdn.com/kf/H06d3e293e59c4a05863001a1b070a587Y.jpg,https://ae04.alicdn.com/kf/H4dc52a97b4e0486390af5865a25b3fe0v.jpg,",https://www.aliexpress.com/item/1005003368810343.html,21.88,12.69,9.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_Adyg7r
Swimwears,200001918,Swimsuit Women Sexy Swimwear Orange String Bikini Set Plus Up Bathing Suit Female Designer Brazil Ladies Swimming Suit for Women,1005003368384872,https://ae01.alicdn.com/kf/Hc6b91062efe6469db6d9cc125983b385V/Swimsuit-Women-Sexy-Swimwear-Orange-String-Bikini-Set-Plus-Up-Bathing-Suit-Female-Designer-Brazil-Ladies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc6b91062efe6469db6d9cc125983b385V.jpg,https://ae04.alicdn.com/kf/H107e0772e1ee4cca82ff226dcb6b6ec28.jpg,https://ae04.alicdn.com/kf/H954f543128c54b36b9567b321c0b9149a.jpg,https://ae04.alicdn.com/kf/H19bdbc3edf664b8da8c62a0e9baa4487b.jpg,https://ae04.alicdn.com/kf/H45fa6ce3befe4e6691c15f49326ff147i.jpg,",https://www.aliexpress.com/item/1005003368384872.html,39.92,19.96,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A1bCyp
Swimwears,200001918,Riseado Sexy Bikinis Women Solid Swimwear 2021 Wrap Beach Swimsuit Push Up Female Set String Strap Brazilian Biquini Fashion New,1005003368295246,https://ae01.alicdn.com/kf/H2c2c06d587d5450b995909920799fc8bA/Riseado-Sexy-Bikinis-Women-Solid-Swimwear-2021-Wrap-Beach-Swimsuit-Push-Up-Female-Set-String-Strap.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2c2c06d587d5450b995909920799fc8bA.jpg,https://ae04.alicdn.com/kf/H232e0b4214ae4d4b849e54326bbd4159w.jpg,https://ae04.alicdn.com/kf/H5b27d578d6664a719078f0d043c9bcc80.jpg,https://ae04.alicdn.com/kf/H803dc91facc6437b9a34f10350290127s.jpg,https://ae04.alicdn.com/kf/H33e96fa0684f4ca5bc936a2267f89d80C.jpg,",https://www.aliexpress.com/item/1005003368295246.html,21.80,12.64,9.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_AXi91P
Swimwears,200001918,Sexy Womens Bikini Cover Up  Beachwear Beach Dress Long Sleeve Kaftan Ladies Cardigan Short Mini Dresses Beachwear Swimwear,1005003368743077,https://ae01.alicdn.com/kf/Hb519a4037aa74c54837841968d8b9bf4G/Sexy-Womens-Bikini-Cover-Up-Beachwear-Beach-Dress-Long-Sleeve-Kaftan-Ladies-Cardigan-Short-Mini-Dresses.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb519a4037aa74c54837841968d8b9bf4G.jpg,https://ae04.alicdn.com/kf/Hee3a030a3d3e47858519d5ee9927b679R.jpg,https://ae04.alicdn.com/kf/H99439cf029944c28a4cf51eb1d799e5eY.jpg,https://ae04.alicdn.com/kf/H800eba2240db43bdb7de7e866f453eacl.jpg,https://ae04.alicdn.com/kf/H4ed1f1862adc4d26a2890224314a2a8cG.jpg,",https://www.aliexpress.com/item/1005003368743077.html,5.71,3.08,20.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_AkAroV
Swimwears,200001918,Riseado Ribbed Women's Bikini Sexy High Waist Swimwear Criss Cross Women Beach Swimsuit 2021 Push Up Biquini Solid Bikinis Set,1005003368723845,https://ae01.alicdn.com/kf/Hbfe0154012e64f7e98689c840fed8950S/Riseado-Ribbed-Women-s-Bikini-Sexy-High-Waist-Swimwear-Criss-Cross-Women-Beach-Swimsuit-2021-Push.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbfe0154012e64f7e98689c840fed8950S.jpg,https://ae04.alicdn.com/kf/H9a4a84b962ce4f43a9ccd1f28d1fa6c2X.jpg,https://ae04.alicdn.com/kf/H081f83e5cd2948c2aa5514b2e5024d9dd.jpg,https://ae04.alicdn.com/kf/Ha0633c374c7f425fafe173fd2e4b82ccB.jpg,https://ae04.alicdn.com/kf/Hb70c9a58b4234287a0f0c3bbd859b8ebO.jpg,",https://www.aliexpress.com/item/1005003368723845.html,21.14,12.26,9.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_A4Fv2D
Swimwears,200001918,Riseado Bandeau Bikini Set Ribbed Women Beach Swimsuit High Waist Women's Swimwear 2021 Solid Sexy Biquini Female Set Beach Wear,1005003368768105,https://ae01.alicdn.com/kf/H64966a9569554e13a2631e741c0cc36cg/Riseado-Bandeau-Bikini-Set-Ribbed-Women-Beach-Swimsuit-High-Waist-Women-s-Swimwear-2021-Solid-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H64966a9569554e13a2631e741c0cc36cg.jpg,https://ae04.alicdn.com/kf/Hcd92ba1860104b6dabbc43157b0de9d28.jpg,https://ae04.alicdn.com/kf/Hbc14c76268c944609bacc9fcd8e1e6c0Y.jpg,https://ae04.alicdn.com/kf/H1c28fb1a112e45db81b19c3ee458a03ap.jpg,https://ae04.alicdn.com/kf/H52c0ac6bd23743c4b15b0ebe82297414F.jpg,",https://www.aliexpress.com/item/1005003368768105.html,20.85,12.09,9.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_9zJDUN
Swimwears,200001918,Rivertrip Sexy Bikini 2022 Women's Swimsuit Criss Coss Swimwear Beachwear High Waist Swimming Wear Solid Brazilian Biquini Black,1005003368038299,https://ae01.alicdn.com/kf/H4d619d781aa64b8c830aaa847a965efcD/Rivertrip-Sexy-Bikini-2022-Women-s-Swimsuit-Criss-Coss-Swimwear-Beachwear-High-Waist-Swimming-Wear-Solid.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4d619d781aa64b8c830aaa847a965efcD.jpg,https://ae04.alicdn.com/kf/He403bd24feb140b4abc5a5820aa2eaf1C.jpg,https://ae04.alicdn.com/kf/H9f4bd19f98524ddf9950a43f42b81f34K.jpg,https://ae04.alicdn.com/kf/He49a7a396f454d7d887d7b2a5159940c3.jpg,https://ae04.alicdn.com/kf/H9b74a3c073334a3f9fe733682169b252g.jpg,",https://www.aliexpress.com/item/1005003368038299.html,25.37,12.68,15.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AKxPHr
Swimwears,200001918,Plus Size Loose Beach Cover-up Casual Short Sleeve Blouse Black Beachwear Sexy Women Bikini Cover Up Bathing Suit,1005003368776078,https://ae01.alicdn.com/kf/H81d0afba37c0471b99ec4ecd0541ad2bi/Plus-Size-Loose-Beach-Cover-up-Casual-Short-Sleeve-Blouse-Black-Beachwear-Sexy-Women-Bikini-Cover.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H81d0afba37c0471b99ec4ecd0541ad2bi.jpg,https://ae04.alicdn.com/kf/Hd810b95527424c2f8f0fc1f2dcbf3d701.jpg,https://ae04.alicdn.com/kf/H4f6dbd871bba474882cbe3f8662e1f90f.jpg,https://ae04.alicdn.com/kf/H12bdba7164e94d758784ed369590597aH.jpg,https://ae04.alicdn.com/kf/H9e562f3da2504c879d1208939e3da348D.jpg,",https://www.aliexpress.com/item/1005003368776078.html,4.80,2.59,30.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_AeYAD7
