Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Tops & Tees,200000778,2021 Autumn New Sexy Off Shoulder Women Sequined Print Shirts Fashion Loose Casual Round Neck Long Sleeve Plus Size Woman Top,1005003361878379,https://ae01.alicdn.com/kf/H1dd8699f1efa45e78ce2e49f29d24156q/2021-Autumn-New-Sexy-Off-Shoulder-Women-Sequined-Print-Shirts-Fashion-Loose-Casual-Round-Neck-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1dd8699f1efa45e78ce2e49f29d24156q.jpg,https://ae04.alicdn.com/kf/H03d3b35ff245412d8b71e3f2af2eb724S.jpg,https://ae04.alicdn.com/kf/Hf6930c3a949b484580528091e1814ca6w.jpg,https://ae04.alicdn.com/kf/H89f638d67540499bb0cdce281b574207F.jpg,https://ae04.alicdn.com/kf/Hcc4e97cb27c742fc81a24010a901e8a5S.jpg,",https://www.aliexpress.com/item/1005003361878379.html,6.68,6.28,9.00%,2098-12-31,6%,https://s.click.aliexpress.com/e/_9zge17
Tops & Tees,200000778,Women T shirt Summer Shiba Inu Print Funny Female Tees Kawaii Streetwear Casual O-neck Short sleeve Fashion Ladies T-shirts 2021,1005002643601432,https://ae01.alicdn.com/kf/H4ee1299072dc42b093f989c7d9b5ab68K/Women-T-shirt-Summer-Shiba-Inu-Print-Funny-Female-Tees-Kawaii-Streetwear-Casual-O-neck-Short.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4ee1299072dc42b093f989c7d9b5ab68K.jpg,https://ae04.alicdn.com/kf/H17900078bff544f7ad896839f2e7ed2aM.jpg,https://ae04.alicdn.com/kf/H0ba41d844e3e468dbfcf69b29ba08f0cy.jpg,https://ae04.alicdn.com/kf/Hc0b0ff625d274d949109224642ba9c30t.jpg,https://ae04.alicdn.com/kf/H4344f0666d0d472099a4285616550783e.jpg,",https://www.aliexpress.com/item/1005002643601432.html,4.99,2.99,60.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AKGMiV
Tops & Tees,200000778,2021 Women T-shirt Summer Heart Print Fashion Ladies tshirts Short Sleeve Casual Harajuku Graphic Female Tee Tops Plus Size XXXL,1005002643579290,https://ae01.alicdn.com/kf/H08ae6193dad1499a82f0ce93981ede49x/2021-Women-T-shirt-Summer-Heart-Print-Fashion-Ladies-tshirts-Short-Sleeve-Casual-Harajuku-Graphic-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H08ae6193dad1499a82f0ce93981ede49x.jpg,https://ae04.alicdn.com/kf/H888c30f05acb4a02b6848585903ef2f96.jpg,https://ae04.alicdn.com/kf/H79d58f599cb64e78a607590294485d44Q.jpg,https://ae04.alicdn.com/kf/Had04a14998984e898e6468d5d2676b78M.jpg,https://ae04.alicdn.com/kf/Hc5279dcc25a34b83ab8b7d311483e8d3f.jpg,",https://www.aliexpress.com/item/1005002643579290.html,4.99,2.99,60.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9guIHT
Tops & Tees,200000778,"Women's Halter Crop Tank Tops, Sleeveless Tie Up Rib Knit Camisole + Shawl Arm Sleeve",1005003166695102,https://ae01.alicdn.com/kf/H186742ccc5dd49568cfe632dfde4dc50P/Women-s-Halter-Crop-Tank-Tops-Sleeveless-Tie-Up-Rib-Knit-Camisole-Shawl-Arm-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H186742ccc5dd49568cfe632dfde4dc50P.jpg,https://ae04.alicdn.com/kf/H97258ddb8de4497fa1b629d66bd675506.jpg,https://ae04.alicdn.com/kf/H410c320f11ce461e896058179da457a85.jpg,https://ae04.alicdn.com/kf/Hce367e5e2b5f48078853f0c36177a677i.jpg,https://ae04.alicdn.com/kf/H1657bbf46370442ea72b03ced51be20a7.jpg,",https://www.aliexpress.com/item/1005003166695102.html,17.09,9.40,30.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_9fSxwv
Tops & Tees,200000778,Japanese Strawberry Milk Drink T-Shirt Women Funny Harajuku Summer Kawaii Graphic Tshirts Aesthetic Camisetas Mujer Tops,1005002643449741,https://ae01.alicdn.com/kf/H4281d30e5b9543efa5bfde086a1204f7E/Japanese-Strawberry-Milk-Drink-T-Shirt-Women-Funny-Harajuku-Summer-Kawaii-Graphic-Tshirts-Aesthetic-Camisetas-Mujer.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4281d30e5b9543efa5bfde086a1204f7E.jpg,https://ae04.alicdn.com/kf/Hfb3f32886cd646efa28cff41865bdbfen.jpg,https://ae04.alicdn.com/kf/H68dc711441b94267a5aaee32882ed089K.jpg,https://ae04.alicdn.com/kf/Hbf96efba6c03469682a19aab835e1a06P.jpg,https://ae04.alicdn.com/kf/H28d2244e68e04e58b36dd9fe628cbcb1E.jpg,",https://www.aliexpress.com/item/1005002643449741.html,4.99,2.99,60.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AkX4lj
Tops & Tees,200000778,Women Yoga Tops Sleeveless Tanks Camis Workout Fitness with Bra 3D Shaper for Woman Crop Top Women Shirts Running Gym Training,1005003368858062,https://ae01.alicdn.com/kf/H21baaa41412e4c269536280298e5cb44r/Women-Yoga-Tops-Sleeveless-Tanks-Camis-Workout-Fitness-with-Bra-3D-Shaper-for-Woman-Crop-Top.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H21baaa41412e4c269536280298e5cb44r.jpg,https://ae04.alicdn.com/kf/Ha8dfa3a9446e492385a6d560231b6d3du.jpg,https://ae04.alicdn.com/kf/Hef57f9c5bcc048e58fa5a682a9af79cbr.jpg,https://ae04.alicdn.com/kf/H8dc3fa735c694835bdc1b1004331a342l.jpg,https://ae04.alicdn.com/kf/H29034e581eea45d1bddd101b361a1571U.jpg,",https://www.aliexpress.com/item/1005003368858062.html,15.00,15.00,20.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AANpbx
Tops & Tees,200000778,2021 Vintage Sexy Black Camis Goth Aesthetic Cross Lace Camisole Gothic Dark Bodycon Sexy Backless Corset Tops Clubwear,1005003369054285,https://ae01.alicdn.com/kf/H87ab9a5acb364464bb6bf6c6819b5d05U/2021-Vintage-Sexy-Black-Camis-Goth-Aesthetic-Cross-Lace-Camisole-Gothic-Dark-Bodycon-Sexy-Backless-Corset.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H87ab9a5acb364464bb6bf6c6819b5d05U.jpg,https://ae04.alicdn.com/kf/H47ed1c6e799649c184ab4304a382f2f36.jpg,https://ae04.alicdn.com/kf/H8bf77322aa8d46eda116528f1df2ec0eC.jpg,https://ae04.alicdn.com/kf/H0cc0d9bd88f942dfb9bdba245128b206s.jpg,https://ae04.alicdn.com/kf/H863b8fee7163453898e896c42668b9cbA.jpg,",https://www.aliexpress.com/item/1005003369054285.html,13.84,9.13,9.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_AEVLGH
Tops & Tees,200000778,Men's and Women's T-shirts Japanese Anime Attack on Giant Punk Top Summer Harajuku Oversized Gothic Short Sleeve T-shirt,1005003355352035,https://ae01.alicdn.com/kf/H252104d85bc04832ad8c8e86bdad1e9b0/Men-s-and-Women-s-T-shirts-Japanese-Anime-Attack-on-Giant-Punk-Top-Summer-Harajuku.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H252104d85bc04832ad8c8e86bdad1e9b0.jpg,https://ae04.alicdn.com/kf/Hb9c41c5c8bfa4f8b84ec053d8c7ca7f6w.jpg,https://ae04.alicdn.com/kf/Hd7d5eb3b5e96406bad13651abaae4036x.jpg,https://ae04.alicdn.com/kf/H16838c4da7b041a9bf0286960869e90eD.jpg,",https://www.aliexpress.com/item/1005003355352035.html,4.00,2.04,20.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_AOulS1
Tops & Tees,200000778,Satin top women summer sexy backless lace-up spaghetti strap top sleevelss ladies elegant ruffle blouse peplum cami tops,32655331705,https://ae01.alicdn.com/kf/HTB1MxI9KFXXXXaXaXXXq6xXFXXXM/Satin-top-women-summer-sexy-backless-lace-up-spaghetti-strap-top-sleevelss-ladies-elegant-ruffle-blouse.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1MxI9KFXXXXaXaXXXq6xXFXXXM.jpg,https://ae04.alicdn.com/kf/HTB1vaCZs3aTBuNjSszfq6xgfpXaJ.jpg,https://ae04.alicdn.com/kf/HTB1JZoks4WYBuNjy1zkq6xGGpXaT.jpg,https://ae04.alicdn.com/kf/HTB1zSdbKVXXXXa3XVXXq6xXFXXXy.jpg,https://ae04.alicdn.com/kf/HTB1GNw8KFXXXXaxaXXXq6xXFXXXk.jpg,",https://www.aliexpress.com/item/32655331705.html,12.00,10.80,15.00%,2098-12-31,10%,https://s.click.aliexpress.com/e/_9xAmE9
Tops & Tees,200000778,Harajuku pena impresso T-shirt das Mulheres T-shirt moda casual branco T-shirt Dreamcatcher ocasional O-pescoço camisa topo,1005002643522433,https://ae01.alicdn.com/kf/H36a6bdc8665545398c88181ad2ad66ebs/Harajuku-pena-impresso-T-shirt-das-Mulheres-T-shirt-moda-casual-branco-T-shirt-Dreamcatcher-ocasional.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H36a6bdc8665545398c88181ad2ad66ebs.jpg,https://ae04.alicdn.com/kf/H33a8a8dae2934093ba0b843c1d0f3486k.jpg,https://ae04.alicdn.com/kf/Hec1ea3c7fb4c4c5795f1acba7df47bbdm.jpg,https://ae04.alicdn.com/kf/H9f4a2370dd3b422d985ffdee64e00ab2B.jpg,https://ae04.alicdn.com/kf/H53b8581387ab4c389835880baa14d999w.jpg,",https://www.aliexpress.com/item/1005002643522433.html,4.99,2.99,60.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A2azIt
