Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Jeans,200000378,Latest Hot Fashion Brand Men's Sweatpants Men Beach Shorts Male Casual Shorts Man Casual Shorts,1005003344645459,https://ae01.alicdn.com/kf/H8f1bb1baeb68482fb55c4f15438d3d08Q/Latest-Hot-Fashion-Brand-Men-s-Sweatpants-Men-Beach-Shorts-Male-Casual-Shorts-Man-Casual-Shorts.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8f1bb1baeb68482fb55c4f15438d3d08Q.jpg,https://ae04.alicdn.com/kf/Hca3cb16ba73c4be7abd7f7256e86d4fd5.jpg,https://ae04.alicdn.com/kf/H803d0d40a03149ffad363352e2bebc0fn.jpg,https://ae04.alicdn.com/kf/H94804264c7ea44428ea04f0cdf02e3f4c.jpg,https://ae04.alicdn.com/kf/H4859c4f7a3604f1f80d7aecec6455861s.jpg,",https://www.aliexpress.com/item/1005003344645459.html,9.84,4.92,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AYlYuT
Jeans,200000378,Men Stylish Ripped Hole Jeans Denim Pants Pockets Button Skinny Long Trousers,1005003318793945,https://ae01.alicdn.com/kf/Haa29f5862dca494dbe7b439a26b206c4O/Men-Stylish-Ripped-Hole-Jeans-Denim-Pants-Pockets-Button-Skinny-Long-Trousers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haa29f5862dca494dbe7b439a26b206c4O.jpg,https://ae04.alicdn.com/kf/H810a0c9ef4814f6bb93c74b5745a3a5fi.jpg,https://ae04.alicdn.com/kf/Hf31c440120464c8ab8d9f0d1e2feb65aK.jpg,https://ae04.alicdn.com/kf/H979cbd5671f64c329f65571b82ce2187H.jpg,https://ae04.alicdn.com/kf/H2e1be7d8c14540bdb7869b52fe195e4dD.jpg,",https://www.aliexpress.com/item/1005003318793945.html,12.88,12.88,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9Q2cx1
Jeans,200000378,Casual Skinny Jeans Ankle Length Ripped Denim Pant Zipper Fly Men Clothing Cut Bottom Pencil Pant Light Blue Cowboys Streetwear,1005003390102233,https://ae01.alicdn.com/kf/H1e48366d430f45e9ac5b9941d6afa683q/Casual-Skinny-Jeans-Ankle-Length-Ripped-Denim-Pant-Zipper-Fly-Men-Clothing-Cut-Bottom-Pencil-Pant.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1e48366d430f45e9ac5b9941d6afa683q.jpg,https://ae04.alicdn.com/kf/Hf9cfb6ed3897487984c5610debf46a69M.jpg,https://ae04.alicdn.com/kf/H8e5a591bd00e41e2bf96464831373c65O.jpg,https://ae04.alicdn.com/kf/Hf941351146bd45a38d7667a300ce9b651.jpg,https://ae04.alicdn.com/kf/Hc2b2b7a5f1e14d699f366e457210f305q.jpg,",https://www.aliexpress.com/item/1005003390102233.html,88.56,44.28,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AkN5F5
Jeans,200000378,New Man Loose Baggy Jeans Hiphop Skateboard Denim Pants Hip Hop Rap Male Black Trouses Big Size 30-46,1005003408311084,https://ae01.alicdn.com/kf/H1d01234609504a31bcacec6be6ead8cdF/New-Man-Loose-Baggy-Jeans-Hiphop-Skateboard-Denim-Pants-Hip-Hop-Rap-Male-Black-Trouses-Big.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1d01234609504a31bcacec6be6ead8cdF.jpg,https://ae04.alicdn.com/kf/H05c7345414c64d8c8a3b1ef404383deel.jpg,https://ae04.alicdn.com/kf/H156c8123874e40c28d29c0f8872f2448X.jpg,https://ae04.alicdn.com/kf/H9fb548c1d6e840c2865250693f694b82v.jpg,https://ae04.alicdn.com/kf/Hc9e8869e977f4113a1556ee55c629a388.jpg,",https://www.aliexpress.com/item/1005003408311084.html,63.58,31.79,30.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AA3pRN
Jeans,200000378,Pants Casual Cotton Denim Trousers Multi Pocket Cargo Jeans Men New Fashion Denim Pencil Pants Side Pockets Cargo,1005003408222638,https://ae01.alicdn.com/kf/H2975c3fd90a84276b220bf840aa9d4d28/Pants-Casual-Cotton-Denim-Trousers-Multi-Pocket-Cargo-Jeans-Men-New-Fashion-Denim-Pencil-Pants-Side.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2975c3fd90a84276b220bf840aa9d4d28.jpg,https://ae04.alicdn.com/kf/Hea02c33c10024b4dbdc435a9be4d197cb.jpg,https://ae04.alicdn.com/kf/He272eae4bc69403bb4f68c83108f11aeZ.jpg,https://ae04.alicdn.com/kf/Hb29adc9d97934f65ae6d6e471748b05az.jpg,https://ae04.alicdn.com/kf/H487400a9909e4a7e99df611d0d1d08a0B.jpg,",https://www.aliexpress.com/item/1005003408222638.html,43.60,21.80,30.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_Aer8cL
Jeans,200000378,Men's Jeans New European and American Holes Stick Fabric Slim Stretch Small Foot Jeans Simple Personality Embroidery Men's Jeans,1005003394949137,https://ae01.alicdn.com/kf/H8e86a8643a5a467d86eeb082736a2b69Q/Men-s-Jeans-New-European-and-American-Holes-Stick-Fabric-Slim-Stretch-Small-Foot-Jeans-Simple.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8e86a8643a5a467d86eeb082736a2b69Q.jpg,https://ae04.alicdn.com/kf/H8fa8fb5246e349b289d7c98234867d7dj.jpg,https://ae04.alicdn.com/kf/Hde0c3fd888a842c787e8507d9013aa9dw.jpg,https://ae04.alicdn.com/kf/H87758707e4a444c5b38f41ff1bdedcdeQ.jpg,https://ae04.alicdn.com/kf/H319fdb24084d40e6a9f8086fb5cc21dbP.jpg,",https://www.aliexpress.com/item/1005003394949137.html,35.56,29.16,10.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_A8ptYP
Jeans,200000378,2019 Casual Jeans Men Business Straight Jeans Stretch Denim Pants Trousers Slim Fit Classic Cowboys Young Man Jeans,1005003390047876,https://ae01.alicdn.com/kf/Hc83b70ba08b5499a80505a6d6f6a9bf0g/2019-Casual-Jeans-Men-Business-Straight-Jeans-Stretch-Denim-Pants-Trousers-Slim-Fit-Classic-Cowboys-Young.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc83b70ba08b5499a80505a6d6f6a9bf0g.jpg,https://ae04.alicdn.com/kf/H63108021db7845fd96d971218a153e23J.jpg,https://ae04.alicdn.com/kf/H111d22394b464ee1bfd76b1bc0b2ef8dy.jpg,https://ae04.alicdn.com/kf/H770d18ba9dc944268f6091d203545a22D.jpg,https://ae04.alicdn.com/kf/Ha22023b71c9c41a1b927525bc1bc7a9fY.jpg,",https://www.aliexpress.com/item/1005003390047876.html,57.56,28.78,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ApIQjv
Jeans,200000378,Men's jeans new ripped slim trousers 2021 men's embroidered small leg pants stretch badge jeans fashion casual loose with jeans,1005002572243871,https://ae01.alicdn.com/kf/H58cf4c589ab048009725ce7b4b8d5bab3/Men-s-jeans-new-ripped-slim-trousers-2021-men-s-embroidered-small-leg-pants-stretch-badge.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H58cf4c589ab048009725ce7b4b8d5bab3.jpg,https://ae04.alicdn.com/kf/H6d156e369b2b4864a7dc98d0133ca9ack.jpg,https://ae04.alicdn.com/kf/He1fd23a8d3334761a2e4c413b3e37a80e.jpg,https://ae04.alicdn.com/kf/Hba771bd23553442ab7b9d493999c3340O.jpg,https://ae04.alicdn.com/kf/H5074a7b4efb845c3b48f61cece7faf22n.jpg,",https://www.aliexpress.com/item/1005002572243871.html,46.42,20.42,9.00%,2098-12-31,56%,https://s.click.aliexpress.com/e/_A8xrej
Jeans,200000378,Men Classic Jeans Jean Homme Pantalones Hombre Men Mannen Soft Black Biker Masculino Denim Overalls Mens Pants,1005003389972750,https://ae01.alicdn.com/kf/H0f4cdcfa2c7042d4b6a2219b77ea25aei/Men-Classic-Jeans-Jean-Homme-Pantalones-Hombre-Men-Mannen-Soft-Black-Biker-Masculino-Denim-Overalls-Mens.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0f4cdcfa2c7042d4b6a2219b77ea25aei.jpg,https://ae04.alicdn.com/kf/Hee78c881e8714638bc87dddb03a44801q.jpg,https://ae04.alicdn.com/kf/H4f5a11efe5b6489aa40315c45313d0bfP.jpg,https://ae04.alicdn.com/kf/H9daaae164c4045e49024cccb3c81712ar.jpg,https://ae04.alicdn.com/kf/Ha58e36bf917341588a780fb48726ae50E.jpg,",https://www.aliexpress.com/item/1005003389972750.html,54.86,27.43,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AcRhDh
Jeans,200000378,Mens Fashion Paint Printing Ripped Skinny Jeans Patchwork Slim fit Biker Pencil Pants Hip Hop Jeans Male Casual Denim Trouses,1005003406899410,https://ae01.alicdn.com/kf/H5a3f3d067b764115bb763c0f9d3ea782a/Mens-Fashion-Paint-Printing-Ripped-Skinny-Jeans-Patchwork-Slim-fit-Biker-Pencil-Pants-Hip-Hop-Jeans.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5a3f3d067b764115bb763c0f9d3ea782a.jpg,https://ae04.alicdn.com/kf/H9881ee65b5e540daa46143b2970926d5T.jpg,https://ae04.alicdn.com/kf/H5c64d73ecddb41c992a5ca4ae31a9105m.jpg,https://ae04.alicdn.com/kf/H6d399d8ea5dc426a973c5c633310d0f3x.jpg,https://ae04.alicdn.com/kf/H7a3d45b6933049a2abac912a6770f7c2I.jpg,",https://www.aliexpress.com/item/1005003406899410.html,18.17,10.72,10.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_A2Sy2n
