Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Jeans,200000361,Womens Skinny Jeans High Waist Fashion Slim Denim Long Pencil Pants Woman Jeans Camisa Feminina Lady Fat Trousers Plus Size 36,1005003408290158,https://ae01.alicdn.com/kf/H1444b0c650ae4e019dbdd2577aed86aen/Womens-Skinny-Jeans-High-Waist-Fashion-Slim-Denim-Long-Pencil-Pants-Woman-Jeans-Camisa-Feminina-Lady.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1444b0c650ae4e019dbdd2577aed86aen.jpg,https://ae04.alicdn.com/kf/H03d9443f20d449d6930359856b68bd01v.jpg,https://ae04.alicdn.com/kf/H571561fd47b94b8397b8596e1e6763eea.jpg,https://ae04.alicdn.com/kf/Hb876bcaafc744151a24d666ff1614537a.jpg,https://ae04.alicdn.com/kf/Hfff978b2acb847cfbffeb8014d3a120e5.jpg,",https://www.aliexpress.com/item/1005003408290158.html,31.90,15.95,30.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A5njR9
Jeans,200000361,Women's Jeans Velvet Thickening Harem Pants Loose Mid Waist Wide Leg Ankle Length Winter Thin Pants,1005003408253353,https://ae01.alicdn.com/kf/H52aa60de774d4d6fa8f12c7b7c80743aQ/Women-s-Jeans-Velvet-Thickening-Harem-Pants-Loose-Mid-Waist-Wide-Leg-Ankle-Length-Winter-Thin.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H52aa60de774d4d6fa8f12c7b7c80743aQ.jpg,https://ae04.alicdn.com/kf/H0a76434c16e043b3a4117312bd5e76b3y.jpg,https://ae04.alicdn.com/kf/Heb42c3c557034782bac3e8de19c27825v.jpg,https://ae04.alicdn.com/kf/H84e127d8cbf34b4b863c47d644f1b6ea4.jpg,https://ae04.alicdn.com/kf/H48cf5d403387487685b3f580eaab1fa8q.jpg,",https://www.aliexpress.com/item/1005003408253353.html,32.90,16.45,30.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9uFNAj
Jeans,200000361,Ripped Jeans for Women Sexy Women's Wear Hole Burnt Flower Wash Ultra Short Jeans Summer High Waisted Baggy Plus Size Jeans,1005002576919316,https://ae01.alicdn.com/kf/Ha456227ad31241ddbfbcdc3b1361bf3aU/Ripped-Jeans-for-Women-Sexy-Women-s-Wear-Hole-Burnt-Flower-Wash-Ultra-Short-Jeans-Summer.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha456227ad31241ddbfbcdc3b1361bf3aU.jpg,https://ae04.alicdn.com/kf/Hb7768b934d29490598c901fd99bf672aa.jpg,https://ae04.alicdn.com/kf/H0a5ac1ef63d7427295d72387886ce82fP.jpg,https://ae04.alicdn.com/kf/H01a48b1233784f058c65688322f2b9b9u.jpg,https://ae04.alicdn.com/kf/Hc9efeaf0f17b4b50958de3ea6f7f517by.jpg,",https://www.aliexpress.com/item/1005002576919316.html,18.88,12.84,9.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_ASgREF
Jeans,200000361,Casual Women Loose Vintage Female Pants  Women Harajuku Baggy Jeans Womens Pants Casual Funny Gothic Pants Summer Jeans fashion,1005003336697453,https://ae01.alicdn.com/kf/Hd6e6552a60384ad89e181c54b67449f2E/Casual-Women-Loose-Vintage-Female-Pants-Women-Harajuku-Baggy-Jeans-Womens-Pants-Casual-Funny-Gothic-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd6e6552a60384ad89e181c54b67449f2E.jpg,https://ae04.alicdn.com/kf/Hd347a7e43ef44545a76d55c8032e78aep.jpg,https://ae04.alicdn.com/kf/Hf1d653df118a490298839d6aff73ef936.jpg,https://ae04.alicdn.com/kf/Hc7e876ece5814ceea389019dc27a867cc.jpg,https://ae04.alicdn.com/kf/H57e4cec6857544519fe323c9c35955cf5.jpg,",https://www.aliexpress.com/item/1005003336697453.html,45.50,22.75,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9htJFV
Jeans,200000361,Oversized Light Blue Washed Ripped Jeans Cropped Pants High Quality Women M-XL Retro Patch Embroidered Printed Loose Jeans,1005002601894681,https://ae01.alicdn.com/kf/H6683e4c9e4894d6b82ac03a5ffd5539bz/Oversized-Light-Blue-Washed-Ripped-Jeans-Cropped-Pants-High-Quality-Women-M-XL-Retro-Patch-Embroidered.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6683e4c9e4894d6b82ac03a5ffd5539bz.jpg,https://ae04.alicdn.com/kf/Hae227d40c90d4d5f88b5c39608a09f5cJ.jpg,https://ae04.alicdn.com/kf/Hc120871abe1f41748ccd2e77cb6e20d3L.jpg,https://ae04.alicdn.com/kf/H756b7f8a5b634f8bbea3c46653be3c413.jpg,https://ae04.alicdn.com/kf/H4f78f2282d95437eb526faf0156676ecQ.jpg,",https://www.aliexpress.com/item/1005002601894681.html,16.99,13.76,9.00%,2098-12-31,19%,https://s.click.aliexpress.com/e/_AmOnMP
Jeans,200000361,Large size fat mm high-waisted wide-leg jeans women's 2021 spring and autumn new retro irregular drape straight-leg pants,1005003397738571,https://ae01.alicdn.com/kf/Hf2138ea57e824020be85722bf16fda37l/Large-size-fat-mm-high-waisted-wide-leg-jeans-women-s-2021-spring-and-autumn-new.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf2138ea57e824020be85722bf16fda37l.jpg,https://ae04.alicdn.com/kf/H5902423490da4c29b5af05cde0dbc331Y.jpg,https://ae04.alicdn.com/kf/H4ae09de24e4e4cb4ac240a3dea1c4789b.jpg,https://ae04.alicdn.com/kf/H9503a8f37b264576aecbe0cc015e7f23F.jpg,https://ae04.alicdn.com/kf/Hc3bb8999f91447a5be584cf6c2dd8ebbZ.jpg,",https://www.aliexpress.com/item/1005003397738571.html,31.00,31.00,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ALRKUx
Jeans,200000361,Women Jeans Vintage Adjustable High Waist BF Oversize Wide Leg Trousers Autumn New Ins All-match Streetwear Retro Korean Chic,1005003336689120,https://ae01.alicdn.com/kf/Hb3d1493f0ea846c3a48e8849c1e04d07x/Women-Jeans-Vintage-Adjustable-High-Waist-BF-Oversize-Wide-Leg-Trousers-Autumn-New-Ins-All-match.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb3d1493f0ea846c3a48e8849c1e04d07x.jpg,https://ae04.alicdn.com/kf/H5356cfb1de4f4e93918bf40573620ae3x.jpg,https://ae04.alicdn.com/kf/H2742a2413d8c4d2291c6731feb21f6f6X.jpg,https://ae04.alicdn.com/kf/H52a5dc99e8ff4ee3821a84a1a847c811d.jpg,https://ae04.alicdn.com/kf/Hfe7d67a1187d4248b31b67acae10b1b3t.jpg,",https://www.aliexpress.com/item/1005003336689120.html,45.81,22.90,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AZSV9t
Jeans,200000361,2021 new slim butterfly viscose beaded denim pencil pants,1005003408595179,https://ae01.alicdn.com/kf/H1538431117b94888a4181c24abb085ccQ/2021-new-slim-butterfly-viscose-beaded-denim-pencil-pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1538431117b94888a4181c24abb085ccQ.jpg,https://ae04.alicdn.com/kf/H5d88121647bf4c33aec279f487f20422Q.jpg,https://ae04.alicdn.com/kf/Hbe48f8d0f4754ed8917bb575600b9645R.jpg,https://ae04.alicdn.com/kf/Hdfb15c20ce264f2e8aed4f398b96848fU.jpg,https://ae04.alicdn.com/kf/H40ee58f0bee9457099b16efdbaedc612q.jpg,",https://www.aliexpress.com/item/1005003408595179.html,11.35,7.83,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_AAyprz
Jeans,200000361,2021 New Women's Eyelet Straps Wear Washed Denim Short Jeans Sexy High Waist Denim Joggers Women Nightclub Party Baggy Jeans,1005002555990362,https://ae01.alicdn.com/kf/Hb6d0d6cabf4949d5bed8ed315e0add1aW/2021-New-Women-s-Eyelet-Straps-Wear-Washed-Denim-Short-Jeans-Sexy-High-Waist-Denim-Joggers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb6d0d6cabf4949d5bed8ed315e0add1aW.jpg,https://ae04.alicdn.com/kf/H82acd9108ceb44e490752efb101c7c54D.jpg,https://ae04.alicdn.com/kf/H9adcc6bddc5a4e26a16e40facc8f68c1K.jpg,https://ae04.alicdn.com/kf/H0c5a58b465864c76a58a8185fdbafdc9i.jpg,https://ae04.alicdn.com/kf/H7925ffbbdf264f5486d178490f527f53D.jpg,",https://www.aliexpress.com/item/1005002555990362.html,18.88,16.05,9.00%,2098-12-31,15%,https://s.click.aliexpress.com/e/_ABa7Kx
Jeans,200000361,Women's Jeans High Waist Jeans Woman Sexy Black Blue Elastic Skinny Pencil Pants Female Multi-size Zipper Wash Denim Trousers,1005003408268321,https://ae01.alicdn.com/kf/H3d64f06a35f647da9c80bcfaeae07492L/Women-s-Jeans-High-Waist-Jeans-Woman-Sexy-Black-Blue-Elastic-Skinny-Pencil-Pants-Female-Multi.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3d64f06a35f647da9c80bcfaeae07492L.jpg,https://ae04.alicdn.com/kf/Hb107ea377d8243589196a0305f7fc94d3.jpg,https://ae04.alicdn.com/kf/H485779ce99a9449785fbf73539c1a109t.jpg,https://ae04.alicdn.com/kf/H9c09b11347b948c1804c96db346060ceZ.jpg,https://ae04.alicdn.com/kf/H715a2e1871274044ab9aaeb06c7646967.jpg,",https://www.aliexpress.com/item/1005003408268321.html,36.43,18.21,30.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9gbyox
